"","rootClass","abstract","class","attribute","name","use","index","primitive","jar","jar.public","jar.original","nullness.jaif","jaif","jaif.known","jaif.integrity.disagree","definition","definition.known","nullness.definition","compatible"
"1","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedShort([BIS)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"2","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","readSwappedShort([BI)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"3","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","readSwappedUnsignedShort([BI)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"4","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedInteger([BII)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"5","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","readSwappedInteger([BI)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"6","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","readSwappedUnsignedInteger([BI)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"7","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedLong([BIJ)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"8","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedShort(Ljava/io/OutputStream;S)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"9","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedInteger(Ljava/io/OutputStream;I)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"10","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","writeSwappedLong(Ljava/io/OutputStream;J)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"11","org.apache.commons.io.EndianUtils","false","org.apache.commons.io.EndianUtils","method","read(Ljava/io/InputStream;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
