class,attribute,visibility,name,index,primitive,nullness
com.google.common.graph.ElementOrder$Type,method,private,<init>(Ljava/lang/String;I)V,0,false,UNKNOWN
com.google.common.graph.ElementOrder$Type,method,private,<init>(Ljava/lang/String;I)V,1,true,UNKNOWN
com.google.common.graph.ElementOrder$Type,method,public,valueOf(Ljava/lang/String;)Lcom/google/common/graph/ElementOrder$Type;,0,false,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,squareMod(JJ)J,0,true,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,squareMod(JJ)J,1,true,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,mulMod(JJJ)J,0,true,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,mulMod(JJJ)J,1,true,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,mulMod(JJJ)J,2,true,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,<init>(Ljava/lang/String;I)V,0,false,UNKNOWN
com.google.common.math.LongMath$MillerRabinTester$1,method,private,<init>(Ljava/lang/String;I)V,1,true,UNKNOWN
com.google.common.graph.Traverser$TreeTraverser$1,method,private,<init>(Lcom/google/common/graph/Traverser$TreeTraverser;Ljava/lang/Object;)V,0,false,UNKNOWN
com.google.common.graph.Traverser$TreeTraverser$1,method,private,<init>(Lcom/google/common/graph/Traverser$TreeTraverser;Ljava/lang/Object;)V,1,false,UNKNOWN
com.google.common.io.BaseEncoding,method,private,separatingAppendable(Ljava/lang/Appendable;Ljava/lang/String;I)Ljava/lang/Appendable;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,private,separatingAppendable(Ljava/lang/Appendable;Ljava/lang/String;I)Ljava/lang/Appendable;,1,false,NON_NULL
com.google.common.io.BaseEncoding,method,private,separatingAppendable(Ljava/lang/Appendable;Ljava/lang/String;I)Ljava/lang/Appendable;,2,true,UNKNOWN
com.google.common.io.BaseEncoding,method,private,extract([BI)[B,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,private,extract([BI)[B,1,true,UNKNOWN
com.google.common.io.BaseEncoding,method,public,decodingSource(Lcom/google/common/io/CharSource;)Lcom/google/common/io/ByteSource;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,public,encode([BII)Ljava/lang/String;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,public,encode([BII)Ljava/lang/String;,1,true,UNKNOWN
com.google.common.io.BaseEncoding,method,public,encode([BII)Ljava/lang/String;,2,true,UNKNOWN
com.google.common.io.BaseEncoding,method,private,separatingWriter(Ljava/io/Writer;Ljava/lang/String;I)Ljava/io/Writer;,0,false,UNKNOWN
com.google.common.io.BaseEncoding,method,private,separatingWriter(Ljava/io/Writer;Ljava/lang/String;I)Ljava/io/Writer;,1,false,UNKNOWN
com.google.common.io.BaseEncoding,method,private,separatingWriter(Ljava/io/Writer;Ljava/lang/String;I)Ljava/io/Writer;,2,true,UNKNOWN
com.google.common.io.BaseEncoding,method,private,trimTrailingPadding(Ljava/lang/CharSequence;)Ljava/lang/CharSequence;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,private,decodeChecked(Ljava/lang/CharSequence;)[B,0,false,UNKNOWN
com.google.common.io.BaseEncoding,method,public,encodingSink(Lcom/google/common/io/CharSink;)Lcom/google/common/io/ByteSink;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,public,decode(Ljava/lang/CharSequence;)[B,0,false,UNKNOWN
com.google.common.io.BaseEncoding,method,private,ignoringReader(Ljava/io/Reader;Ljava/lang/String;)Ljava/io/Reader;,0,false,NON_NULL
com.google.common.io.BaseEncoding,method,private,ignoringReader(Ljava/io/Reader;Ljava/lang/String;)Ljava/io/Reader;,1,false,NON_NULL
com.google.common.io.BaseEncoding,method,public,encode([B)Ljava/lang/String;,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,private,access$102(Lcom/google/common/collect/AbstractMapBasedMultiset;J)J,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,private,access$102(Lcom/google/common/collect/AbstractMapBasedMultiset;J)J,1,true,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,forEachEntry(Ljava/util/function/ObjIntConsumer;)V,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,public,count(Ljava/lang/Object;)I,0,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,add(Ljava/lang/Object;I)I,0,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,add(Ljava/lang/Object;I)I,1,true,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,private,setBackingMap(Ljava/util/Map;)V,0,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,private,getAndSet(Lcom/google/common/collect/Count;I)I,0,false,NULLABLE
com.google.common.collect.AbstractMapBasedMultiset,method,private,getAndSet(Lcom/google/common/collect/Count;I)I,1,true,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,private,access$000(Lcom/google/common/collect/AbstractMapBasedMultiset;)Ljava/util/Map;,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,public,setCount(Ljava/lang/Object;I)I,0,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,setCount(Ljava/lang/Object;I)I,1,true,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,remove(Ljava/lang/Object;I)I,0,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,public,remove(Ljava/lang/Object;I)I,1,true,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,private,access$100(Lcom/google/common/collect/AbstractMapBasedMultiset;)J,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,private,lambda$forEachEntry$0(Ljava/util/function/ObjIntConsumer;Ljava/lang/Object;Lcom/google/common/collect/Count;)V,0,false,NON_NULL
com.google.common.collect.AbstractMapBasedMultiset,method,private,lambda$forEachEntry$0(Ljava/util/function/ObjIntConsumer;Ljava/lang/Object;Lcom/google/common/collect/Count;)V,1,false,UNKNOWN
com.google.common.collect.AbstractMapBasedMultiset,method,private,lambda$forEachEntry$0(Ljava/util/function/ObjIntConsumer;Ljava/lang/Object;Lcom/google/common/collect/Count;)V,2,false,NON_NULL
