"","rootClass","abstract","class","attribute","name","use","index","primitive","jar","jar.public","jar.original","nullness.jaif","jaif","jaif.known","jaif.integrity.disagree","definition","definition.known","nullness.definition","compatible"
"1","com.google.common.collect.ForwardingSortedMultiset","false","com.google.common.collect.ForwardingSortedMultiset","method","standardFirstEntry()","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"2","com.google.common.collect.ForwardingSortedMultiset","false","com.google.common.collect.ForwardingSortedMultiset","method","standardLastEntry()","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"3","com.google.common.collect.ForwardingSortedMultiset","false","com.google.common.collect.ForwardingSortedMultiset","method","standardPollFirstEntry()","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"4","com.google.common.collect.ForwardingSortedMultiset","false","com.google.common.collect.ForwardingSortedMultiset","method","standardPollLastEntry()","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"5","java.util.function.Supplier","false","com.google.common.cache.CacheBuilder$2","method","get()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"6","com.google.common.io.Closeables","false","com.google.common.io.Closeables","method","close(Ljava/io/Closeable;Z)","parameter",0,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"7","com.google.common.primitives.Booleans$BooleanComparator","false","com.google.common.primitives.Booleans$BooleanComparator","method","compare(Ljava/lang/Boolean;Ljava/lang/Boolean;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"8","com.google.common.primitives.Booleans$BooleanComparator","false","com.google.common.primitives.Booleans$BooleanComparator","method","compare(Ljava/lang/Boolean;Ljava/lang/Boolean;)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"9","java.util.function.Supplier","false","com.google.common.collect.MultimapBuilder$ArrayListSupplier","method","get()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"10","java.util.function.Supplier","false","com.google.common.hash.Hashing$ChecksumType$2","method","get()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"11","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","<init>(Lcom/google/common/cache/CacheBuilder;Lcom/google/common/cache/CacheLoader;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"12","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","reclaimValue(Lcom/google/common/cache/LocalCache$ValueReference;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"13","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","createSegment(IJLcom/google/common/cache/AbstractCache$StatsCounter;)","return",-1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"14","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","newSegmentArray(I)","return",-1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"15","java.util.Map","false","com.google.common.cache.LocalCache","method","get(Ljava/lang/Object;)","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"16","java.util.Map","false","com.google.common.cache.LocalCache","method","get(Ljava/lang/Object;)","parameter",0,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"17","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","getIfPresent(Ljava/lang/Object;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"18","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","getAllPresent(Ljava/lang/Iterable;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"19","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","getAll(Ljava/lang/Iterable;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"20","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","loadAll(Ljava/util/Set;Lcom/google/common/cache/CacheLoader;)","return",-1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"21","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","loadAll(Ljava/util/Set;Lcom/google/common/cache/CacheLoader;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"22","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","loadAll(Ljava/util/Set;Lcom/google/common/cache/CacheLoader;)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"23","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","getEntry(Ljava/lang/Object;)","return",-1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"24","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","getEntry(Ljava/lang/Object;)","parameter",0,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"25","java.util.Map","false","com.google.common.cache.LocalCache","method","containsKey(Ljava/lang/Object;)","parameter",0,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"26","java.util.Map","false","com.google.common.cache.LocalCache","method","containsValue(Ljava/lang/Object;)","parameter",0,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"27","java.util.Map","false","com.google.common.cache.LocalCache","method","compute(Ljava/lang/Object;Ljava/util/function/BiFunction;)","parameter",1,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"28","java.util.Map","false","com.google.common.cache.LocalCache","method","computeIfAbsent(Ljava/lang/Object;Ljava/util/function/Function;)","parameter",1,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"29","java.util.Map","false","com.google.common.cache.LocalCache","method","computeIfPresent(Ljava/lang/Object;Ljava/util/function/BiFunction;)","parameter",1,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"30","java.util.Map","false","com.google.common.cache.LocalCache","method","merge(Ljava/lang/Object;Ljava/lang/Object;Ljava/util/function/BiFunction;)","parameter",2,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"31","java.util.Map","false","com.google.common.cache.LocalCache","method","putAll(Ljava/util/Map;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"32","java.util.Map","false","com.google.common.cache.LocalCache","method","remove(Ljava/lang/Object;)","parameter",0,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"33","java.util.Map","false","com.google.common.cache.LocalCache","method","remove(Ljava/lang/Object;Ljava/lang/Object;)","parameter",0,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"34","java.util.Map","false","com.google.common.cache.LocalCache","method","remove(Ljava/lang/Object;Ljava/lang/Object;)","parameter",1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"35","java.util.Map","false","com.google.common.cache.LocalCache","method","replace(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)","parameter",1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"36","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","invalidateAll(Ljava/lang/Iterable;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"37","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","toArrayList(Ljava/util/Collection;)","return",-1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"38","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","toArrayList(Ljava/util/Collection;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"39","com.google.common.cache.LocalCache","false","com.google.common.cache.LocalCache","method","removeIf(Ljava/util/function/BiPredicate;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"40","com.google.common.util.concurrent.AbstractCatchingFuture$CatchingFuture","false","com.google.common.util.concurrent.AbstractCatchingFuture$CatchingFuture","method","doFallback(Lcom/google/common/base/Function;Ljava/lang/Throwable;)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"41","com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys","false","com.google.common.collect.MultimapBuilder$4","method","createMap()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"42","com.google.common.base.Optional","false","com.google.common.base.Absent","method","or(Lcom/google/common/base/Optional;)","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"43","com.google.common.base.Optional","false","com.google.common.base.Absent","method","or(Lcom/google/common/base/Optional;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"44","com.google.common.base.Optional","false","com.google.common.base.Absent","method","or(Lcom/google/common/base/Supplier;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"45","com.google.common.base.Optional","false","com.google.common.base.Absent","method","orNull()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"46","com.google.common.base.Optional","false","com.google.common.base.Absent","method","transform(Lcom/google/common/base/Function;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
