class,method,variable,location,nullness,nullness.actual,comment,originClass,originMethod
com.google.common.base.Splitter$MapSplitter,split(Ljava/lang/CharSequence;)Ljava/util/Map;,$r2,485:-1,UNKNOWN,UNKNOWN,,com.google.common.base.Splitter,split(Ljava/lang/CharSequence;)Ljava/lang/Iterable;
com.google.common.cache.CacheStats,toString()Ljava/lang/String;,$r2,270:-1,UNKNOWN,UNKNOWN,,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;J)Lcom/google/common/base/MoreObjects$ToStringHelper;
com.google.common.cache.LocalCache$Segment,clear()V,e,3367:-1,UNKNOWN,UNKNOWN,,com.google.common.cache.LocalCache$ReferenceEntry,getNext()Lcom/google/common/cache/LocalCache$ReferenceEntry;
com.google.common.cache.LocalCache$Segment,removeEntry(Lcom/google/common/cache/LocalCache$ReferenceEntry;ILcom/google/common/cache/RemovalCause;)Z,$r2,3580:-1,UNKNOWN,UNKNOWN,,com.google.common.cache.LocalCache$ReferenceEntry,getValueReference()Lcom/google/common/cache/LocalCache$ValueReference;
com.google.common.collect.AbstractRangeSet,toString()Ljava/lang/String;,$r0,98:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.RangeSet,asRanges()Ljava/util/Set;
com.google.common.collect.AbstractSortedMultiset,pollFirstEntry()Lcom/google/common/collect/Multiset$Entry;,entryIterator,79:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.AbstractMultiset,entryIterator()Ljava/util/Iterator;
com.google.common.collect.AbstractTable,rowKeySet()Ljava/util/Set;,$r0,50:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Table,rowMap()Ljava/util/Map;
com.google.common.collect.ArrayTable,column(Ljava/lang/Object;)Ljava/util/Map;,columnIndex,610:-1,NON_NULL,NON_NULL,auto-boxing,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ArrayTable,get(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,rowIndex,438:-1,NON_NULL,NON_NULL,auto-boxing,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.collect.ConcurrentHashMultiset,count(Ljava/lang/Object;)I,existingCounter,142:-1,NON_NULL,NON_NULL,,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;
