,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
1,com.google.common.base.AbstractIterator$State,method,public,values(),false,-1,true,UNKNOWN,1,,,False,,,
2,com.google.common.base.Ascii,method,public,isLowerCase(C),false,0,true,NON_NULL,1,False,False,True,True,False,False
3,com.google.common.base.Ascii,method,public,isUpperCase(C),false,0,true,NON_NULL,1,False,False,True,True,False,False
4,com.google.common.base.Ascii,method,public,toLowerCase(C),false,0,true,NON_NULL,1,False,False,True,True,False,False
5,com.google.common.base.Ascii,method,public,toLowerCase(Ljava/lang/String;),false,-1,true,UNKNOWN,1,False,False,True,True,False,False
6,com.google.common.base.Ascii,method,public,toLowerCase(Ljava/lang/String;),false,0,false,UNKNOWN,2,False,False,True,True,False,False
7,com.google.common.base.Ascii,method,public,toLowerCase(Ljava/lang/String;),false,0,true,UNKNOWN,16,False,False,True,True,False,False
8,com.google.common.base.Ascii,method,public,toUpperCase(C),false,0,true,NON_NULL,2,False,False,True,True,False,False
9,com.google.common.base.Ascii,method,public,toUpperCase(Ljava/lang/String;),false,0,true,UNKNOWN,3,False,False,True,True,False,False
10,com.google.common.base.Ascii,method,public,truncate(Ljava/lang/CharSequence;ILjava/lang/String;),false,0,true,UNKNOWN,2,False,False,True,True,False,False
11,com.google.common.base.Ascii,method,public,truncate(Ljava/lang/CharSequence;ILjava/lang/String;),false,1,true,NON_NULL,2,False,False,True,True,False,False
12,com.google.common.base.Ascii,method,public,truncate(Ljava/lang/CharSequence;ILjava/lang/String;),false,2,true,NON_NULL,2,False,False,True,True,False,False
13,com.google.common.base.CaseFormat,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;Lcom/google/common/base/CaseFormat$1;),false,0,true,UNKNOWN,5,True,,False,True,,
14,com.google.common.base.CaseFormat,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;Lcom/google/common/base/CaseFormat$1;),false,1,true,NON_NULL,5,True,,False,True,,
15,com.google.common.base.CaseFormat,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;Lcom/google/common/base/CaseFormat$1;),false,2,true,UNKNOWN,5,True,,False,True,,
16,com.google.common.base.CaseFormat,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;Lcom/google/common/base/CaseFormat$1;),false,3,true,UNKNOWN,5,True,,False,True,,
17,com.google.common.base.CaseFormat,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;Lcom/google/common/base/CaseFormat$1;),false,4,true,NULL,5,True,,False,True,,
18,com.google.common.base.CaseFormat,method,private,access$100(Ljava/lang/String;),false,0,true,UNKNOWN,2,False,,False,True,,
19,com.google.common.base.CaseFormat,method,private,convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;),false,0,true,UNKNOWN,3,False,,False,True,,
20,com.google.common.base.CaseFormat,method,private,convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;),false,1,true,UNKNOWN,3,False,,False,True,,
