,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
1,com.sun.management.GarbageCollectionNotificationInfo,method,public,from(Ljavax/management/openmbean/CompositeData;),false,0,false,UNKNOWN,5,,CLASS_NOT_FOUND
2,com.sun.management.GarbageCollectionNotificationInfo,method,public,getGcInfo(),true,-1,false,UNKNOWN,15,,CLASS_NOT_FOUND
3,com.sun.management.ThreadMXBean,method,public,getThreadAllocatedBytes(J),false,0,false,NON_NULL,5,,CLASS_NOT_FOUND
4,com.sun.management.ThreadMXBean,method,public,setThreadAllocatedMemoryEnabled(Z),false,0,false,NON_NULL,5,,CLASS_NOT_FOUND
5,java.applet.Applet,method,public,setStub(Ljava/applet/AppletStub;),false,0,false,NON_NULL,6,False,NOT_MENTIONED
6,java.awt.AWTKeyStroke,method,public,toString(),false,-1,false,UNKNOWN,4,False,NOT_MENTIONED
7,java.awt.AlphaComposite,method,public,getInstance(I),false,0,false,NON_NULL,1,False,NOT_MENTIONED
8,java.awt.AlphaComposite,method,public,getInstance(IF),false,0,false,NON_NULL,35,False,NOT_MENTIONED
9,java.awt.AlphaComposite,method,public,getInstance(IF),false,1,false,NON_NULL,35,False,NOT_MENTIONED
10,java.awt.BasicStroke,method,public,<init>(F),false,0,false,NON_NULL,22,True,NOT_MENTIONED
11,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,0,false,NON_NULL,11,True,NOT_MENTIONED
12,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,1,false,NON_NULL,11,True,NOT_MENTIONED
13,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,2,false,NON_NULL,11,True,NOT_MENTIONED
14,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,3,false,NON_NULL,11,True,NOT_MENTIONED
15,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,4,false,NON_NULL,11,True,NOT_MENTIONED
16,java.awt.BasicStroke,method,public,<init>(FIIF[FF),false,5,false,NON_NULL,11,True,NOT_MENTIONED
17,java.awt.CardLayout,method,public,addLayoutComponent(Ljava/awt/Component;Ljava/lang/Object;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
18,java.awt.CardLayout,method,public,addLayoutComponent(Ljava/awt/Component;Ljava/lang/Object;),false,1,false,UNKNOWN,11,False,NOT_MENTIONED
19,java.awt.CardLayout,method,public,layoutContainer(Ljava/awt/Container;),false,0,false,UNKNOWN,22,False,NOT_MENTIONED
20,java.awt.CardLayout,method,public,maximumLayoutSize(Ljava/awt/Container;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
21,java.awt.CardLayout,method,public,minimumLayoutSize(Ljava/awt/Container;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
22,java.awt.CardLayout,method,public,preferredLayoutSize(Ljava/awt/Container;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
23,java.awt.CardLayout,method,public,removeLayoutComponent(Ljava/awt/Component;),false,0,false,UNKNOWN,22,False,NOT_MENTIONED
24,java.awt.CardLayout,method,public,show(Ljava/awt/Container;Ljava/lang/String;),false,0,false,UNKNOWN,33,False,NOT_MENTIONED
25,java.awt.CardLayout,method,public,show(Ljava/awt/Container;Ljava/lang/String;),false,1,false,UNKNOWN,33,False,NOT_MENTIONED
26,java.awt.Color,method,public,<init>(FFFF),false,0,false,NON_NULL,3,True,NOT_MENTIONED
27,java.awt.Color,method,public,<init>(FFFF),false,1,false,NON_NULL,3,True,NOT_MENTIONED
28,java.awt.Color,method,public,<init>(FFFF),false,2,false,NON_NULL,3,True,NOT_MENTIONED
29,java.awt.Color,method,public,<init>(FFFF),false,3,false,NON_NULL,3,True,NOT_MENTIONED
30,java.awt.Color,method,public,<init>(I),false,0,false,NON_NULL,11,True,NOT_MENTIONED
31,java.awt.Color,method,public,<init>(III),false,0,false,NON_NULL,623,True,NOT_MENTIONED
32,java.awt.Color,method,public,<init>(III),false,1,false,NON_NULL,623,True,NOT_MENTIONED
33,java.awt.Color,method,public,<init>(III),false,2,false,NON_NULL,623,True,NOT_MENTIONED
34,java.awt.Color,method,public,<init>(IIII),false,0,false,NON_NULL,25,True,NOT_MENTIONED
35,java.awt.Color,method,public,<init>(IIII),false,1,false,NON_NULL,25,True,NOT_MENTIONED
36,java.awt.Color,method,public,<init>(IIII),false,2,false,NON_NULL,25,True,NOT_MENTIONED
37,java.awt.Color,method,public,<init>(IIII),false,3,false,NON_NULL,25,True,NOT_MENTIONED
38,java.awt.Color,method,public,<init>(IZ),false,0,false,NON_NULL,3,True,NOT_MENTIONED
39,java.awt.Color,method,public,<init>(IZ),false,1,false,NON_NULL,3,True,NOT_MENTIONED
40,java.awt.Color,method,public,decode(Ljava/lang/String;),false,0,false,NON_NULL,19,False,NOT_MENTIONED
41,java.awt.Color,method,public,decode(Ljava/lang/String;),false,0,false,UNKNOWN,5,False,NOT_MENTIONED
42,java.awt.Component,method,protected,enableEvents(J),false,0,false,NON_NULL,11,False,NOT_MENTIONED
43,java.awt.Component,method,protected,firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;),false,0,false,NON_NULL,33,False,NOT_MENTIONED
44,java.awt.Component,method,protected,firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;),false,0,false,UNKNOWN,209,False,NOT_MENTIONED
45,java.awt.Component,method,protected,firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;),false,1,false,UNKNOWN,242,False,NOT_MENTIONED
46,java.awt.Component,method,protected,firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;),false,2,false,NON_NULL,22,False,NOT_MENTIONED
47,java.awt.Component,method,protected,firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;),false,2,false,UNKNOWN,220,False,NOT_MENTIONED
48,java.awt.Component,method,public,addComponentListener(Ljava/awt/event/ComponentListener;),false,0,false,NON_NULL,44,False,MENTIONED_IN_GENERAL
49,java.awt.Component,method,public,addFocusListener(Ljava/awt/event/FocusListener;),false,0,false,NON_NULL,11,False,MENTIONED_IN_GENERAL
50,java.awt.Component,method,public,addFocusListener(Ljava/awt/event/FocusListener;),false,0,false,UNKNOWN,280,False,MENTIONED_IN_GENERAL
51,java.awt.Component,method,public,addHierarchyBoundsListener(Ljava/awt/event/HierarchyBoundsListener;),false,0,false,NON_NULL,33,False,MENTIONED_IN_GENERAL
52,java.awt.Component,method,public,addKeyListener(Ljava/awt/event/KeyListener;),false,0,false,NON_NULL,22,False,MENTIONED_IN_GENERAL
53,java.awt.Component,method,public,addKeyListener(Ljava/awt/event/KeyListener;),false,0,false,UNKNOWN,313,False,MENTIONED_IN_GENERAL
