class,method,getter
com.google.common.collect.Synchronized$SynchronizedSet,delegate()Ljava/util/Set;,false
com.google.common.collect.ImmutableRangeSet$Builder,addAll(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableRangeSet$Builder;,false
com.google.common.reflect.TypeToken,getRawType()Ljava/lang/Class;,false
com.google.common.reflect.TypeToken,getTypes()Lcom/google/common/reflect/TypeToken$TypeSet;,false
com.google.common.reflect.TypeToken,resolveType(Ljava/lang/reflect/Type;)Lcom/google/common/reflect/TypeToken;,false
com.google.common.collect.Maps$FilteredEntrySortedMap,subMap(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/SortedMap;,false
com.google.common.collect.Maps$FilteredEntrySortedMap,tailMap(Ljava/lang/Object;)Ljava/util/SortedMap;,false
com.google.common.collect.Maps$FilteredEntrySortedMap,headMap(Ljava/lang/Object;)Ljava/util/SortedMap;,false
com.google.common.collect.Maps$FilteredEntrySortedMap,sortedMap()Ljava/util/SortedMap;,false
com.google.common.cache.CacheLoader,reload(Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/util/concurrent/ListenableFuture;,false
com.google.common.cache.CacheLoader,loadAll(Ljava/lang/Iterable;)Ljava/util/Map;,false
com.google.common.collect.Maps$ViewCachingAbstractMap,entrySet()Ljava/util/Set;,true
com.google.common.reflect.TypeToken$TypeCollector,classesOnly()Lcom/google/common/reflect/TypeToken$TypeCollector;,false
com.google.common.graph.NetworkBuilder,expectedEdgeCount(I)Lcom/google/common/graph/NetworkBuilder;,false
com.google.common.graph.NetworkBuilder,expectedNodeCount(I)Lcom/google/common/graph/NetworkBuilder;,false
com.google.common.graph.NetworkBuilder,build()Lcom/google/common/graph/MutableNetwork;,false
com.google.common.collect.MapMakerInternalMap$HashIterator,nextEntry()Lcom/google/common/collect/MapMakerInternalMap$WriteThroughEntry;,true
com.google.common.primitives.ImmutableDoubleArray,subArray(II)Lcom/google/common/primitives/ImmutableDoubleArray;,false
com.google.common.primitives.ImmutableLongArray,subArray(II)Lcom/google/common/primitives/ImmutableLongArray;,false
com.google.common.cache.LocalCache$LoadingValueReference,loadFuture(Ljava/lang/Object;Lcom/google/common/cache/CacheLoader;)Lcom/google/common/util/concurrent/ListenableFuture;,false
com.google.common.collect.AbstractMultimap,keySet()Ljava/util/Set;,true
com.google.common.collect.AbstractMultimap,entries()Ljava/util/Collection;,true
com.google.common.collect.AbstractMultimap,asMap()Ljava/util/Map;,true
com.google.common.collect.Synchronized$SynchronizedMap,delegate()Ljava/util/Map;,false
com.google.common.collect.TreeRangeMap$RangeMapEntry,getUpperBound()Lcom/google/common/collect/Cut;,false
com.google.common.collect.TreeRangeMap$RangeMapEntry,getKey()Lcom/google/common/collect/Range;,false
com.google.common.collect.TreeRangeMap$RangeMapEntry,getValue()Ljava/lang/Object;,true
com.google.common.math.PairedStats,yStats()Lcom/google/common/math/Stats;,true
com.google.common.math.PairedStats,xStats()Lcom/google/common/math/Stats;,true
com.google.common.collect.MutableClassToInstanceMap,delegate()Ljava/util/Map;,true
com.google.common.collect.ImmutableSet$Builder,add(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableSet$Builder;,false
com.google.common.collect.ImmutableSet$Builder,addAll(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableSet$Builder;,false
com.google.common.collect.ImmutableSet$Builder,addAll(Ljava/util/Iterator;)Lcom/google/common/collect/ImmutableSet$Builder;,false
com.google.common.collect.SortedMultisets$ElementSet,multiset()Lcom/google/common/collect/SortedMultiset;,true
com.google.common.collect.MapMaker,weakValues()Lcom/google/common/collect/MapMaker;,false
com.google.common.collect.MapMaker,initialCapacity(I)Lcom/google/common/collect/MapMaker;,false
com.google.common.collect.MapMaker,setKeyStrength(Lcom/google/common/collect/MapMakerInternalMap$Strength;)Lcom/google/common/collect/MapMaker;,false
com.google.common.collect.MapMaker,keyEquivalence(Lcom/google/common/base/Equivalence;)Lcom/google/common/collect/MapMaker;,false
com.google.common.collect.MapMaker,setValueStrength(Lcom/google/common/collect/MapMakerInternalMap$Strength;)Lcom/google/common/collect/MapMaker;,false
com.google.common.collect.MapMaker,weakKeys()Lcom/google/common/collect/MapMaker;,false
com.google.common.primitives.ImmutableIntArray,subArray(II)Lcom/google/common/primitives/ImmutableIntArray;,false
com.google.common.cache.CacheBuilderSpec,toCacheBuilder()Lcom/google/common/cache/CacheBuilder;,false
com.google.common.collect.FluentIterable,first()Lcom/google/common/base/Optional;,false
com.google.common.collect.FluentIterable,filter(Lcom/google/common/base/Predicate;)Lcom/google/common/collect/FluentIterable;,false
com.google.common.collect.FluentIterable,filter(Ljava/lang/Class;)Lcom/google/common/collect/FluentIterable;,false
com.google.common.collect.AbstractMapBasedMultimap$WrappedCollection,getDelegate()Ljava/util/Collection;,true
com.google.common.reflect.TypeResolver,where(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;)Lcom/google/common/reflect/TypeResolver;,false
com.google.common.reflect.TypeResolver,where(Ljava/util/Map;)Lcom/google/common/reflect/TypeResolver;,false
com.google.common.cache.LocalCache$HashIterator,nextEntry()Lcom/google/common/cache/LocalCache$WriteThroughEntry;,true
com.google.common.collect.TreeMultiset$AvlNode,add(Ljava/util/Comparator;Ljava/lang/Object;I[I)Lcom/google/common/collect/TreeMultiset$AvlNode;,false
com.google.common.collect.ImmutableMultiset$Builder,add([Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset$Builder;,false
com.google.common.collect.ImmutableMultiset$Builder,add(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset$Builder;,false
com.google.common.collect.ImmutableSortedMultiset$Builder,addAll(Ljava/util/Iterator;)Lcom/google/common/collect/ImmutableSortedMultiset$Builder;,false
com.google.common.collect.ForwardingMap,keySet()Ljava/util/Set;,false
com.google.common.collect.ForwardingMap,entrySet()Ljava/util/Set;,false
com.google.common.graph.EndpointPair,nodeV()Ljava/lang/Object;,true
