getter,classification,comment,,class,method
false,FALSE,,,com.google.common.base.CharMatcher,and(Lcom/google/common/base/CharMatcher;)Lcom/google/common/base/CharMatcher;
false,FALSE,,,com.google.common.base.CharMatcher,negate()Lcom/google/common/base/CharMatcher;
false,FALSE,,,com.google.common.base.Joiner,appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)Ljava/lang/StringBuilder;
false,FALSE,,,com.google.common.base.Joiner,join(Ljava/lang/Iterable;)Ljava/lang/String;
false,FALSE,,,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;D)Lcom/google/common/base/MoreObjects$ToStringHelper;
false,FALSE,,,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;I)Lcom/google/common/base/MoreObjects$ToStringHelper;
false,FALSE,,,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;J)Lcom/google/common/base/MoreObjects$ToStringHelper;
false,FALSE,,,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;Ljava/lang/Object;)Lcom/google/common/base/MoreObjects$ToStringHelper;
false,FALSE,,,com.google.common.base.MoreObjects$ToStringHelper,addValue(Ljava/lang/Object;)Lcom/google/common/base/MoreObjects$ToStringHelper;
true,FALSE,,,com.google.common.base.Splitter,omitEmptyStrings()Lcom/google/common/base/Splitter;
false,FALSE,,,com.google.common.base.Splitter,split(Ljava/lang/CharSequence;)Ljava/lang/Iterable;
false,FALSE,,,com.google.common.cache.CacheBuilder,concurrencyLevel(I)Lcom/google/common/cache/CacheBuilder;
true,TRUE,,,com.google.common.cache.CacheBuilder,getStatsCounterSupplier()Lcom/google/common/base/Supplier;
false,FALSE,,,com.google.common.cache.CacheBuilder,keyEquivalence(Lcom/google/common/base/Equivalence;)Lcom/google/common/cache/CacheBuilder;
false,FALSE,,,com.google.common.cache.CacheBuilder,removalListener(Lcom/google/common/cache/RemovalListener;)Lcom/google/common/cache/CacheBuilder;
