class,attribute,visibility,name,index,type,primitive,nullness
org.apache.commons.io.ByteOrderMark,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_8,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_16BE,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_16LE,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_32BE,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_32LE,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,UTF_BOM,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,charsetName,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,field,,bytes,-1,,,NonNull
org.apache.commons.io.ByteOrderMark,method,,<init>(Ljava/lang/String;[I)V,-1,V,true,Unknown
org.apache.commons.io.ByteOrderMark,method,,<init>(Ljava/lang/String;[I)V,0,Ljava/lang/String;,false,NonNull
org.apache.commons.io.ByteOrderMark,method,,<init>(Ljava/lang/String;[I)V,1,[I,false,NonNull
org.apache.commons.io.ByteOrderMark,method,,getCharsetName()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.ByteOrderMark,method,,length()I,-1,I,true,NonNull
org.apache.commons.io.ByteOrderMark,method,,get(I)I,-1,I,true,NonNull
org.apache.commons.io.ByteOrderMark,method,,get(I)I,0,I,true,NonNull
org.apache.commons.io.ByteOrderMark,method,,getBytes()[B,-1,[B,false,NonNull
org.apache.commons.io.ByteOrderMark,method,,equals(Ljava/lang/Object;)Z,-1,Z,true,NonNull
org.apache.commons.io.ByteOrderMark,method,,equals(Ljava/lang/Object;)Z,0,Ljava/lang/Object;,false,Nullable
org.apache.commons.io.ByteOrderMark,method,,hashCode()I,-1,I,true,NonNull
org.apache.commons.io.ByteOrderMark,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.ByteOrderMark,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.ByteOrderParser,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.ByteOrderParser,method,,parseByteOrder(Ljava/lang/String;)Ljava/nio/ByteOrder;,-1,Ljava/nio/ByteOrder;,false,NonNull
org.apache.commons.io.ByteOrderParser,method,,parseByteOrder(Ljava/lang/String;)Ljava/nio/ByteOrder;,0,Ljava/lang/String;,false,NonNull
org.apache.commons.io.Charsets,field,,ISO_8859_1,-1,,,NonNull
org.apache.commons.io.Charsets,field,,US_ASCII,-1,,,NonNull
org.apache.commons.io.Charsets,field,,UTF_16,-1,,,NonNull
org.apache.commons.io.Charsets,field,,UTF_16BE,-1,,,NonNull
org.apache.commons.io.Charsets,field,,UTF_16LE,-1,,,NonNull
org.apache.commons.io.Charsets,field,,UTF_8,-1,,,NonNull
org.apache.commons.io.Charsets,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.Charsets,method,,requiredCharsets()Ljava/util/SortedMap;,-1,Ljava/util/SortedMap;,false,NonNull
org.apache.commons.io.Charsets,method,,toCharset(Ljava/nio/charset/Charset;)Ljava/nio/charset/Charset;,-1,Ljava/nio/charset/Charset;,false,NonNull
org.apache.commons.io.Charsets,method,,toCharset(Ljava/nio/charset/Charset;)Ljava/nio/charset/Charset;,0,Ljava/nio/charset/Charset;,false,Nullable
org.apache.commons.io.Charsets,method,,toCharset(Ljava/lang/String;)Ljava/nio/charset/Charset;,-1,Ljava/nio/charset/Charset;,false,NonNull
org.apache.commons.io.Charsets,method,,toCharset(Ljava/lang/String;)Ljava/nio/charset/Charset;,0,Ljava/lang/String;,false,Nullable
org.apache.commons.io.Charsets,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.AbstractFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.AbstractFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
