class,classVisibility,attribute,visibility,name,index,type,primitive,rootClass,abstract
org.apache.commons.io.output.TaggedOutputStream,public,field,private,tag,-1,Ljava/io/Serializable;,false,org.apache.commons.io.output.TaggedOutputStream,false
org.apache.commons.io.output.TaggedOutputStream,public,method,public,<init>(Ljava/io/OutputStream;)V,0,Ljava/io/OutputStream;,false,java.io.FilterOutputStream,false
org.apache.commons.io.output.TaggedOutputStream,public,method,public,isCauseOf(Ljava/lang/Exception;)Z,-1,Z,true,org.apache.commons.io.output.TaggedOutputStream,false
org.apache.commons.io.output.TaggedOutputStream,public,method,public,isCauseOf(Ljava/lang/Exception;)Z,0,Ljava/lang/Exception;,false,org.apache.commons.io.output.TaggedOutputStream,false
org.apache.commons.io.output.TaggedOutputStream,public,method,public,throwIfCauseOf(Ljava/lang/Exception;)V,0,Ljava/lang/Exception;,false,org.apache.commons.io.output.TaggedOutputStream,false
org.apache.commons.io.output.TaggedOutputStream,public,method,protected,handleIOException(Ljava/io/IOException;)V,0,Ljava/io/IOException;,false,org.apache.commons.io.output.ProxyOutputStream,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,serialVersionUID,-1,J,true,java.lang.Throwable,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,bomEncoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,xmlGuessEncoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,xmlEncoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,contentTypeMime,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,field,private,contentTypeEncoding,-1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,method,public,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,0,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
org.apache.commons.io.input.XmlStreamReaderException,public,method,public,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,1,Ljava/lang/String;,false,org.apache.commons.io.input.XmlStreamReaderException,false
