"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"1","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","createAsMap()",-1,"Nullable","NonNull","Nullable"
"2","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntryMultimap","method","createAsMap()",-1,"Nullable","NonNull","Nullable"
"3","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","createAsMap()",-1,"Nullable","NonNull","Nullable"
"4","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntryMultimap","method","createEntries()",-1,"Nullable","NonNull","Nullable"
"5","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntrySetMultimap","method","createEntries()",-1,"Nullable","NonNull","Nullable"
"6","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","createEntries()",-1,"Nullable","NonNull","Nullable"
"7","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeySetMultimap","method","createEntries()",-1,"Nullable","NonNull","Nullable"
"8","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","createKeySet()",-1,"Nullable","NonNull","Nullable"
"9","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","createKeySet()",-1,"Nullable","NonNull","Nullable"
"10","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntryMultimap","method","createKeys()",-1,"Nullable","NonNull","Nullable"
"11","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","createKeys()",-1,"Nullable","NonNull","Nullable"
"12","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntryMultimap","method","createValues()",-1,"Nullable","NonNull","Nullable"
"13","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","createValues()",-1,"Nullable","NonNull","Nullable"
"14","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"15","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredEntryMultimap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"16","com.google.common.collect.AbstractMultimap","com.google.common.collect.FilteredKeyMultimap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"17","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","entrySpliterator()",-1,"Nullable","NonNull","Nullable"
"18","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","valueIterator()",-1,"Nullable","NonNull","Nullable"
"19","com.google.common.collect.AbstractMultimap","com.google.common.collect.AbstractMapBasedMultimap","method","valueSpliterator()",-1,"Nullable","NonNull","Nullable"
"20","com.google.common.collect.AbstractMultiset","com.google.common.collect.AbstractSortedMultiset","method","createElementSet()",-1,"Nullable","NonNull","Nullable"
"21","com.google.common.collect.AbstractTable","com.google.common.collect.DenseImmutableTable","field","values",-1,"Nullable","NonNull","Nullable"
"22","com.google.common.collect.BiMap","com.google.common.collect.SingletonImmutableBiMap","method","inverse()",-1,"Nullable","NonNull","Nullable"
"23","com.google.common.collect.ForwardingObject","com.google.common.cache.ForwardingCache","method","delegate()",-1,"Nullable","NonNull","Nullable"
"24","com.google.common.collect.ForwardingObject","com.google.common.cache.ForwardingCache$SimpleForwardingCache","method","delegate()",-1,"Nullable","NonNull","Nullable"
"25","com.google.common.collect.ForwardingObject","com.google.common.cache.ForwardingLoadingCache","method","delegate()",-1,"Nullable","NonNull","Nullable"
"26","com.google.common.collect.ForwardingObject","com.google.common.cache.ForwardingLoadingCache$SimpleForwardingLoadingCache","method","delegate()",-1,"Nullable","NonNull","Nullable"
