class,method,comment,dereferences,location,variable,nullness,originClass,originMethod
com.google.common.base.Absent,asSet()Ljava/util/Set;,ok,false,,,,,
com.google.common.base.CharMatcher,any()Lcom/google/common/base/CharMatcher;,ok,false,,,,,
com.google.common.base.CharMatcher$None,negate()Ljava/util/function/Predicate;,ok,false,,,,,
com.google.common.base.Converter$1,iterator()Ljava/util/Iterator;,ok,false,,,,,
com.google.common.base.Functions$IdentityFunction,values()[Lcom/google/common/base/Functions$IdentityFunction;,"ok inherited from enum",false,,,,,
com.google.common.base.Optional$1$1,computeNext()Ljava/lang/Object;,ok,false,,,,,
com.google.common.base.Splitter$3$1,separatorEnd(I)I,"ok matcher is inter-procedural",false,,,,,
com.google.common.base.Verify,verifyNotNull(Ljava/lang/Object;)Ljava/lang/Object;,ok,false,,,,,
com.google.common.cache.LocalCache$AbstractCacheSet,isEmpty()Z,ok,false,,,,,
com.google.common.cache.LocalCache$NullEntry,getNextInWriteQueue()Lcom/google/common/cache/LocalCache$ReferenceEntry;,ok,false,,,,,
com.google.common.cache.RemovalNotification,getCause()Lcom/google/common/cache/RemovalCause;,ok,false,,,,,
com.google.common.collect.AbstractBiMap$1,next()Ljava/lang/Object;,ok,false,,,,,
com.google.common.collect.AbstractIterator,endOfData()Ljava/lang/Object;,ok,false,,,,,
com.google.common.collect.AbstractMapBasedMultimap$NavigableAsMap,floorKey(Ljava/lang/Object;)Ljava/lang/Object;,ok,true,1528:-1,$r0,UNKNOWN,com.google.common.collect.AbstractMapBasedMultimap$NavigableAsMap,sortedMap()Ljava/util/NavigableMap;
com.google.common.collect.AbstractSortedMultiset$1DescendingMultisetImpl,<init>(Lcom/google/common/collect/AbstractSortedMultiset;)V,"ok implicit constructor",false,,,,,
com.google.common.collect.AbstractTable,put(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,ok,true,100:-1,$r0,UNKNOWN,com.google.common.collect.Table,row(Ljava/lang/Object;)Ljava/util/Map;
com.google.common.collect.ArrayTable$1,get(I)Ljava/lang/Object;,ok,false,,,,,
com.google.common.collect.ArrayTable$ArrayMap,<init>(Lcom/google/common/collect/ImmutableMap;Lcom/google/common/collect/ArrayTable$1;)V,ok,false,,,,,
com.google.common.collect.CollectSpliterators$1,lambda$forEachRemaining$1(Ljava/util/function/Consumer;Ljava/util/function/Function;Ljava/lang/Object;)V,ok,false,,,,,
com.google.common.collect.ComparisonChain$InactiveComparisonChain,compare(FF)Lcom/google/common/collect/ComparisonChain;,ok,false,,,,,
com.google.common.collect.DenseImmutableTable$ImmutableArrayMap$1,<init>(Lcom/google/common/collect/DenseImmutableTable$ImmutableArrayMap;)V,ok,true,129:-1,$r1,UNKNOWN,com.google.common.collect.DenseImmutableTable$ImmutableArrayMap,keyToIndex()Lcom/google/common/collect/ImmutableMap;
com.google.common.collect.EmptyContiguousSet,descendingIterator()Ljava/util/Iterator;,ok,false,,,,,
com.google.common.collect.EnumBiMap,writeObject(Ljava/io/ObjectOutputStream;)V,ok,false,,,,,
com.google.common.collect.EnumHashBiMap,replaceAll(Ljava/util/function/BiFunction;)V,"ok inherited",false,,,,,
com.google.common.collect.EnumMultiset$1$1,output(I)Ljava/lang/Enum;,cannot identify origin,true,258:-1,$r2,UNKNOWN,com.google.common.collect.EnumMultiset,access$000(Lcom/google/common/collect/EnumMultiset;)[Ljava/lang/Enum;
com.google.common.collect.ForwardingBlockingDeque,offerFirst(Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;)Z,ok,true,75:-1,$r0,UNKNOWN,com.google.common.collect.ForwardingBlockingDeque,delegate()Ljava/util/concurrent/BlockingDeque;
com.google.common.collect.ForwardingCollection,toArray()[Ljava/lang/Object;,ok,true,122:-1,$r0,UNKNOWN,com.google.common.collect.ForwardingCollection,delegate()Ljava/util/Collection;
com.google.common.collect.ForwardingConcurrentMap,delegate()Ljava/util/Map;,"ok abstract",false,,,,,
com.google.common.collect.ForwardingMultiset,entrySet()Ljava/util/Set;,ok,true,87:-1,$r0,UNKNOWN,com.google.common.collect.ForwardingMultiset,delegate()Lcom/google/common/collect/Multiset;
com.google.common.collect.HashBiMap,clear()V,ok,false,,,,,
com.google.common.collect.HashBiMap$1$MapEntry,getKey()Ljava/lang/Object;,ok,false,,,,,
com.google.common.collect.HashBiMap$Inverse,replaceAll(Ljava/util/function/BiFunction;)V,cannot identify origin,true,712:-1,entry,NON_NULL,com.google.common.collect.HashBiMap,access$000(Lcom/google/common/collect/HashBiMap;)Lcom/google/common/collect/HashBiMap$BiEntry;
com.google.common.collect.HashMultiset,count(Ljava/lang/Object;)I,"ok delegate to super",false,,,,,
com.google.common.collect.ImmutableEnumSet,isPartialView()Z,ok,false,,,,,
com.google.common.collect.ImmutableMap,keySpliterator()Ljava/util/Spliterator;,ok,true,746:-1,$r0,UNKNOWN,com.google.common.collect.ImmutableMap,entrySet()Lcom/google/common/collect/ImmutableSet;
com.google.common.collect.ImmutableMultiset,add(Ljava/lang/Object;I)I,ok,false,,,,,
com.google.common.collect.ImmutableSortedMap,<init>(Lcom/google/common/collect/RegularImmutableSortedSet;Lcom/google/common/collect/ImmutableList;)V,ok,false,,,,,
com.google.common.collect.ImmutableSortedMap,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;,ok,true,810:-1,$r2,UNKNOWN,com.google.common.collect.ImmutableSortedMap,comparator()Ljava/util/Comparator;
com.google.common.collect.ImmutableSortedMap,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;,ok,true,814:-1,$r3,UNKNOWN,com.google.common.collect.ImmutableSortedMap,headMap(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;
com.google.common.collect.ImmutableSortedSet,lower(Ljava/lang/Object;)Ljava/lang/Object;,ok,true,681:-1,$r0,UNKNOWN,com.google.common.collect.ImmutableSortedSet,headSet(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedSet;
com.google.common.collect.ImmutableTable,values()Ljava/util/Collection;,ok,false,,,,,
com.google.common.collect.Iterators,concat(Ljava/util/Iterator;)Ljava/util/Iterator;,ok,false,,,,,
com.google.common.collect.ListMultimap,replaceValues(Ljava/lang/Object;Ljava/lang/Iterable;)Ljava/util/Collection;,"ok abstract",false,,,,,
com.google.common.collect.Lists$ReverseList,reverseIndex(I)I,ok,false,,,,,
com.google.common.collect.MapMakerInternalMap,remove(Ljava/lang/Object;)Ljava/lang/Object;,ok,true,2450:-1,$r0,UNKNOWN,com.google.common.collect.MapMakerInternalMap,segmentFor(I)Lcom/google/common/collect/MapMakerInternalMap$Segment;
com.google.common.collect.Maps,keyOrNull(Ljava/util/Map$Entry;)Ljava/lang/Object;,ok,false,,,,,
com.google.common.collect.Multisets$DecreasingCount,compare(Lcom/google/common/collect/Multiset$Entry;Lcom/google/common/collect/Multiset$Entry;)I,ok,false,,,,,
com.google.common.collect.NullsFirstOrdering,nullsLast()Lcom/google/common/collect/Ordering;,ok,false,,,,,
com.google.common.collect.RegularImmutableMap,<init>([Ljava/util/Map$Entry;[Lcom/google/common/collect/ImmutableMapEntry;I)V,ok,false,,,,,
com.google.common.collect.RegularImmutableSortedMultiset,elementSet()Lcom/google/common/collect/ImmutableSet;,ok,false,,,,,
com.google.common.collect.SortedLists$KeyPresentBehavior$5,resultIndex(Ljava/util/Comparator;Ljava/lang/Object;Ljava/util/List;I)I,ok,false,,,,,
com.google.common.collect.Streams,stream(Ljava/util/Iterator;)Ljava/util/stream/Stream;,ok,false,,,,,
com.google.common.collect.Streams,stream(Ljava/util/OptionalDouble;)Ljava/util/stream/DoubleStream;,ok,false,,,,,
com.google.common.collect.Synchronized$SynchronizedAsMapEntries$1$1,<init>(Lcom/google/common/collect/Synchronized$SynchronizedAsMapEntries$1;Ljava/util/Map$Entry;)V,"ok implicit constructor",false,,,,,
com.google.common.collect.Synchronized$SynchronizedDeque,removeLastOccurrence(Ljava/lang/Object;)Z,ok,true,1950:-1,$r1,UNKNOWN,com.google.common.collect.Synchronized$SynchronizedDeque,delegate()Ljava/util/Deque;
com.google.common.collect.Synchronized$SynchronizedMap,forEach(Ljava/util/function/BiConsumer;)V,ok,true,1075:-1,$r1,UNKNOWN,com.google.common.collect.Synchronized$SynchronizedMap,delegate()Ljava/util/Map;
com.google.common.collect.TreeRangeSet$RangesByUpperBound,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Ljava/util/NavigableMap;,ok,false,,,,,
com.google.common.graph.AbstractBaseGraph,<init>()V,"ok implicit constructor",false,,,,,
com.google.common.graph.ConfigurableValueGraph,predecessors(Ljava/lang/Object;)Ljava/util/Set;,ok,true,109:-1,$r0,UNKNOWN,com.google.common.graph.ConfigurableValueGraph,checkedConnections(Ljava/lang/Object;)Lcom/google/common/graph/GraphConnections;
com.google.common.graph.DirectedGraphConnections,of()Lcom/google/common/graph/DirectedGraphConnections;,ok,false,,,,,
com.google.common.graph.Graphs$TransposedValueGraph,inDegree(Ljava/lang/Object;)I,ok,true,343:-1,$r0,UNKNOWN,com.google.common.graph.Graphs$TransposedValueGraph,delegate()Lcom/google/common/graph/ValueGraph;
com.google.common.hash.AbstractCompositeHashFunction$1,putUnencodedChars(Ljava/lang/CharSequence;)Lcom/google/common/hash/PrimitiveSink;,ok,false,,,,,
com.google.common.hash.AbstractHasher,<init>()V,"ok implicit constructor",false,,,,,
com.google.common.hash.AbstractNonStreamingHashFunction,hashUnencodedChars(Ljava/lang/CharSequence;)Lcom/google/common/hash/HashCode;,ok,false,,,,,
com.google.common.hash.ChecksumHashFunction,<init>(Lcom/google/common/base/Supplier;ILjava/lang/String;)V,ok,false,,,,,
com.google.common.hash.Crc32cHashFunction,bits()I,ok,false,,,,,
com.google.common.hash.LongAddables$2,get()Ljava/lang/Object;,ok,false,,,,,
com.google.common.io.BaseEncoding$5,<init>(Ljava/lang/Appendable;Ljava/io/Writer;)V,"ok implicit constructor",false,,,,,
com.google.common.io.Files,map(Ljava/io/RandomAccessFile;Ljava/nio/channels/FileChannel$MapMode;J)Ljava/nio/MappedByteBuffer;,ok,true,698:-1,closer,UNKNOWN,com.google.common.io.Closer,create()Lcom/google/common/io/Closer;
com.google.common.io.Files,map(Ljava/io/RandomAccessFile;Ljava/nio/channels/FileChannel$MapMode;J)Ljava/nio/MappedByteBuffer;,ok,true,699:-1,channel,UNKNOWN,com.google.common.io.Closer,register(Ljava/io/Closeable;)Ljava/io/Closeable;
com.google.common.io.Files,readLines(Ljava/io/File;Ljava/nio/charset/Charset;)Ljava/util/List;,ok,true,544:-1,$r0,UNKNOWN,com.google.common.io.Files,asCharSource(Ljava/io/File;Ljava/nio/charset/Charset;)Lcom/google/common/io/CharSource;
com.google.common.io.Files$FileByteSink,<init>(Ljava/io/File;[Lcom/google/common/io/FileWriteMode;)V,ok,false,,,,,
com.google.common.io.LineBuffer,<init>()V,"ok implicit constructor",false,,,,,
com.google.common.io.MoreFiles$3,toString()Ljava/lang/String;,ok,false,,,,,
com.google.common.math.StatsAccumulator,sum()D,ok,false,,,,,
com.google.common.net.InternetDomainName,isTopDomainUnderRegistrySuffix()Z,ok,false,,,,,
com.google.common.primitives.Bytes$ByteArrayAsList,toString()Ljava/lang/String;,ok,false,,,,,
com.google.common.primitives.ImmutableDoubleArray,access$200()Lcom/google/common/primitives/ImmutableDoubleArray;,cannot identify which one it is,false,,,,,
com.google.common.primitives.ImmutableLongArray,of(J[J)Lcom/google/common/primitives/ImmutableLongArray;,ok,false,,,,,
com.google.common.primitives.Longs$AsciiDigits,digit(C)I,ok,false,,,,,
com.google.common.primitives.Primitives,isWrapperType(Ljava/lang/Class;)Z,ok,false,,,,,
com.google.common.primitives.Shorts$ShortConverter,doBackward(Ljava/lang/Short;)Ljava/lang/String;,ok,false,,,,,
com.google.common.primitives.SignedBytes,min([B)B,ok,false,,,,,
com.google.common.primitives.UnsignedInteger,valueOf(Ljava/lang/String;I)Lcom/google/common/primitives/UnsignedInteger;,ok,false,,,,,
com.google.common.primitives.UnsignedLongs,join(Ljava/lang/String;[J)Ljava/lang/String;,ok,false,,,,,
com.google.common.reflect.TypeResolver$WildcardCapturer,<init>(Ljava/util/concurrent/atomic/AtomicInteger;Lcom/google/common/reflect/TypeResolver$1;)V,ok,false,,,,,
