class,method,invokes,parameters,location,originClass,originMethod
com.google.common.collect.LinkedListMultimap$ValueForKeyIterator,remove()V,true,"[""UNKNOWN"",""UNKNOWN""]",558:-1,com.google.common.collect.LinkedListMultimap,access$400(Lcom/google/common/collect/LinkedListMultimap;Lcom/google/common/collect/LinkedListMultimap$Node;)V
com.google.common.collect.LinkedListMultimap$ValueForKeyIterator,remove()V,true,"[""NON_NULL""]",551:-1,com.google.common.collect.CollectPreconditions,checkRemove(Z)V
com.google.common.collect.Streams$3,<init>(JILjava/util/PrimitiveIterator$OfInt;Lcom/google/common/collect/Streams$IntFunctionWithIndex;)V,false,,,,
com.google.common.primitives.Floats$FloatArrayAsList,hashCode()I,true,"[""NON_NULL""]",618:-1,com.google.common.primitives.Floats,hashCode(F)I
com.google.common.util.concurrent.SettableFuture,set(Ljava/lang/Object;)Z,true,"[""UNKNOWN""]",48:-1,com.google.common.util.concurrent.AbstractFuture,set(Ljava/lang/Object;)Z
com.google.common.collect.Synchronized$SynchronizedSetMultimap,removeAll(Ljava/lang/Object;)Ljava/util/Set;,true,[],833:-1,com.google.common.collect.Synchronized$SynchronizedSetMultimap,delegate()Lcom/google/common/collect/SetMultimap;
com.google.common.collect.Synchronized$SynchronizedSetMultimap,removeAll(Ljava/lang/Object;)Ljava/util/Set;,true,"[""UNKNOWN""]",833:-1,com.google.common.collect.SetMultimap,removeAll(Ljava/lang/Object;)Ljava/util/Set;
com.google.common.hash.HashCode$BytesHashCode,asInt()I,true,"[""NON_NULL"",""NON_NULL"",""NON_NULL""]",278:-1,com.google.common.base.Preconditions,checkState(ZLjava/lang/String;I)V
com.google.common.util.concurrent.Monitor,access$000(Lcom/google/common/util/concurrent/Monitor;)Ljava/util/concurrent/locks/ReentrantLock;,false,,,,
com.google.common.collect.Multimaps,lambda$toMultimap$1(Lcom/google/common/collect/Multimap;Lcom/google/common/collect/Multimap;)Lcom/google/common/collect/Multimap;,true,"[""UNKNOWN""]",117:-1,com.google.common.collect.Multimap,putAll(Lcom/google/common/collect/Multimap;)Z
com.google.common.util.concurrent.ForwardingCheckedFuture$SimpleForwardingCheckedFuture,delegate()Lcom/google/common/util/concurrent/ListenableFuture;,false,,,,
com.google.common.primitives.Bytes$ByteArrayAsList,size()I,false,,,,
com.google.common.graph.AbstractNetwork$1,edges()Ljava/util/Set;,true,[],62:-1,com.google.common.graph.Network,allowsParallelEdges()Z
com.google.common.graph.AbstractNetwork$1,edges()Ljava/util/Set;,true,[],63:-1,com.google.common.graph.AbstractGraph,edges()Ljava/util/Set;
com.google.common.graph.AbstractNetwork$1,edges()Ljava/util/Set;,true,"[""NON_NULL""]",67:-1,com.google.common.graph.AbstractNetwork$1$1,<init>(Lcom/google/common/graph/AbstractNetwork$1;)V
com.google.common.math.LongMath,log10Floor(J)I,true,"[""NON_NULL"",""NON_NULL""]",200:-1,com.google.common.math.LongMath,lessThanBranchFree(JJ)I
com.google.common.collect.RegularImmutableBiMap$Inverse$InverseEntrySet,iterator()Lcom/google/common/collect/UnmodifiableIterator;,true,[],258:-1,com.google.common.collect.ImmutableList,iterator()Lcom/google/common/collect/UnmodifiableIterator;
com.google.common.eventbus.SubscriberRegistry,flattenHierarchy(Ljava/lang/Class;)Lcom/google/common/collect/ImmutableSet;,true,"[""UNKNOWN""]",231:-1,com.google.common.cache.LoadingCache,getUnchecked(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.eventbus.SubscriberRegistry,flattenHierarchy(Ljava/lang/Class;)Lcom/google/common/collect/ImmutableSet;,true,"[""UNKNOWN""]",233:-1,com.google.common.base.Throwables,propagate(Ljava/lang/Throwable;)Ljava/lang/RuntimeException;
com.google.common.eventbus.EventBus,handleSubscriberException(Ljava/lang/Throwable;Lcom/google/common/eventbus/SubscriberExceptionContext;)V,true,"[""NON_NULL"",""NON_NULL""]",175:-1,com.google.common.eventbus.SubscriberExceptionHandler,handleException(Ljava/lang/Throwable;Lcom/google/common/eventbus/SubscriberExceptionContext;)V
com.google.common.collect.RegularImmutableSortedMultiset,elementSet()Ljava/util/Set;,false,,,,
com.google.common.collect.AbstractBiMap,makeInverse(Ljava/util/Map;)Lcom/google/common/collect/AbstractBiMap;,true,"[""UNKNOWN"",""NON_NULL""]",105:-1,com.google.common.collect.AbstractBiMap$Inverse,<init>(Ljava/util/Map;Lcom/google/common/collect/AbstractBiMap;)V
com.google.common.cache.LocalCache$LoadingSerializationProxy,getUnchecked(Ljava/lang/Object;)Ljava/lang/Object;,true,"[""UNKNOWN""]",5008:-1,com.google.common.cache.LoadingCache,getUnchecked(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.io.BaseEncoding$StandardBaseEncoding$1,write(I)V,true,"[""NON_NULL""]",602:-1,com.google.common.io.BaseEncoding$Alphabet,encode(I)C
com.google.common.base.Joiner$MapJoiner,appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)Ljava/lang/StringBuilder;,true,"[""UNKNOWN"",""UNKNOWN""]",401:-1,com.google.common.base.Joiner$MapJoiner,appendTo(Ljava/lang/StringBuilder;Ljava/util/Iterator;)Ljava/lang/StringBuilder;
com.google.common.collect.ImmutableSetMultimap,invert()Lcom/google/common/collect/ImmutableSetMultimap;,true,[],502:-1,com.google.common.collect.ImmutableSetMultimap$Builder,build()Lcom/google/common/collect/ImmutableSetMultimap;
com.google.common.collect.ImmutableSetMultimap,invert()Lcom/google/common/collect/ImmutableSetMultimap;,true,"[""UNKNOWN"",""UNKNOWN""]",500:-1,com.google.common.collect.ImmutableSetMultimap$Builder,put(Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableSetMultimap$Builder;
com.google.common.collect.ImmutableSetMultimap,invert()Lcom/google/common/collect/ImmutableSetMultimap;,true,[],499:-1,com.google.common.collect.ImmutableSet,iterator()Lcom/google/common/collect/UnmodifiableIterator;
com.google.common.collect.ImmutableSetMultimap,invert()Lcom/google/common/collect/ImmutableSetMultimap;,true,[],498:-1,com.google.common.collect.ImmutableSetMultimap,builder()Lcom/google/common/collect/ImmutableSetMultimap$Builder;
com.google.common.collect.Iterators,checkNonnegative(I)V,false,,,,
com.google.common.collect.ForwardingNavigableMap,lastEntry()Ljava/util/Map$Entry;,true,[],209:-1,com.google.common.collect.ForwardingNavigableMap,delegate()Ljava/util/NavigableMap;
