class,method,invokes,parameters,comment,location,originClass,originMethod
com.google.common.base.CharMatcher,javaIsoControl()Lcom/google/common/base/CharMatcher;,false,,ok,,,
com.google.common.base.CharMatcher$Whitespace,setBits(Ljava/util/BitSet;)V,false,,ok,,,
com.google.common.base.Converter$1$1,next()Ljava/lang/Object;,true,[UNKNOWN],ok,219:-1,com.google.common.base.Converter,convert(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.base.Equivalence,wrap(Ljava/lang/Object;)Lcom/google/common/base/Equivalence$Wrapper;,true,"[NON_NULL,UNKNOWN,NULL]","ok last arg is injected",162:-1,com.google.common.base.Equivalence$Wrapper,<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;)V
com.google.common.base.Joiner$MapJoiner,appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)Ljava/lang/StringBuilder;,true,"[UNKNOWN,UNKNOWN]",ok,401:-1,com.google.common.base.Joiner$MapJoiner,appendTo(Ljava/lang/StringBuilder;Ljava/util/Iterator;)Ljava/lang/StringBuilder;
com.google.common.base.Predicates,compose(Lcom/google/common/base/Predicate;Lcom/google/common/base/Function;)Lcom/google/common/base/Predicate;,true,"[UNKNOWN,UNKNOWN,NULL]","ok last arg is injected",250:-1,com.google.common.base.Predicates$CompositionPredicate,<init>(Lcom/google/common/base/Predicate;Lcom/google/common/base/Function;Lcom/google/common/base/Predicates$1;)V
com.google.common.base.Throwables,propagateIfPossible(Ljava/lang/Throwable;Ljava/lang/Class;Ljava/lang/Class;)V,true,"[UNKNOWN,UNKNOWN]",ok,204:-1,com.google.common.base.Throwables,propagateIfInstanceOf(Ljava/lang/Throwable;Ljava/lang/Class;)V
com.google.common.base.Throwables,propagateIfPossible(Ljava/lang/Throwable;Ljava/lang/Class;Ljava/lang/Class;)V,true,"[UNKNOWN,NON_NULL]",ok,205:-1,com.google.common.base.Throwables,propagateIfPossible(Ljava/lang/Throwable;Ljava/lang/Class;)V
com.google.common.base.Verify,verify(ZLjava/lang/String;Ljava/lang/Object;C)V,true,[UNKNOWN],ok,239:-1,com.google.common.base.VerifyException,<init>(Ljava/lang/String;)V
com.google.common.base.Verify,verify(ZLjava/lang/String;Ljava/lang/Object;C)V,true,"[UNKNOWN,NON_NULL]",ok,239:-1,com.google.common.base.Preconditions,format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
com.google.common.base.VerifyException,<init>(Ljava/lang/String;)V,false,,ok,,,
com.google.common.cache.CacheBuilder,getMaximumWeight()J,false,,ok,,,
com.google.common.cache.LocalCache$AbstractReferenceEntry,getKey()Ljava/lang/Object;,false,,ok,,,
com.google.common.cache.LocalCache$LoadingSerializationProxy,getUnchecked(Ljava/lang/Object;)Ljava/lang/Object;,true,[UNKNOWN],ok,5008:-1,com.google.common.cache.LoadingCache,getUnchecked(Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3152:-1,com.google.common.base.Ticker,read()J
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[NON_NULL],ok,3153:-1,com.google.common.cache.LocalCache$Segment,preWriteCleanup(J)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3159:-1,com.google.common.cache.LocalCache$ReferenceEntry,getNext()Lcom/google/common/cache/LocalCache$ReferenceEntry;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3160:-1,com.google.common.cache.LocalCache$ReferenceEntry,getKey()Ljava/lang/Object;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3161:-1,com.google.common.cache.LocalCache$ReferenceEntry,getHash()I
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[UNKNOWN,UNKNOWN]",param 2 is non-null,3163:-1,com.google.common.base.Equivalence,equivalent(Ljava/lang/Object;Ljava/lang/Object;)Z
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3164:-1,com.google.common.cache.LocalCache$ReferenceEntry,getValueReference()Lcom/google/common/cache/LocalCache$ValueReference;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3165:-1,com.google.common.cache.LocalCache$ValueReference,get()Ljava/lang/Object;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3167:-1,com.google.common.cache.LocalCache$ValueReference,isActive()Z
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[NON_NULL,NON_NULL,UNKNOWN,NON_NULL,NULL,NON_NULL,UNKNOWN]",param 3 is non-null,3172:-1,com.google.common.cache.LocalCache$Segment,removeValueFromChain(Lcom/google/common/cache/LocalCache$ReferenceEntry;Lcom/google/common/cache/LocalCache$ReferenceEntry;Ljava/lang/Object;ILjava/lang/Object;Lcom/google/common/cache/LocalCache$ValueReference;Lcom/google/common/cache/RemovalCause;)Lcom/google/common/cache/LocalCache$ReferenceEntry;
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[UNKNOWN,NON_NULL,NON_NULL,NON_NULL,UNKNOWN]",ok,3188:-1,com.google.common.cache.LocalCache$Segment,enqueueNotification(Ljava/lang/Object;ILjava/lang/Object;ILcom/google/common/cache/RemovalCause;)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3189:-1,com.google.common.cache.LocalCache$ValueReference,getWeight()I
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[NON_NULL,UNKNOWN,UNKNOWN,NON_NULL]",ok,3190:-1,com.google.common.cache.LocalCache$Segment,setValue(Lcom/google/common/cache/LocalCache$ReferenceEntry;Ljava/lang/Object;Ljava/lang/Object;J)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[NON_NULL],ok,3191:-1,com.google.common.cache.LocalCache$Segment,evictEntries(Lcom/google/common/cache/LocalCache$ReferenceEntry;)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],ok,3199:-1,com.google.common.cache.LocalCache$Segment,postWriteCleanup()V
