class,attribute,visibility,name,getter,index,internal,nullness,n
org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;)V,false,1,false,NON_NULL,16
org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z)Ljava/util/Collection;,false,0,false,UNKNOWN,5
org.apache.commons.io.output.TeeOutputStream,method,public,<init>(Ljava/io/OutputStream;Ljava/io/OutputStream;)V,false,1,false,UNKNOWN,21
org.apache.commons.io.IOUtils,method,public,copy(Ljava/io/InputStream;Ljava/io/Writer;)V,false,1,false,NON_NULL,2
org.apache.commons.io.IOCase,method,public,checkEquals(Ljava/lang/String;Ljava/lang/String;)Z,false,1,true,NON_NULL,2
org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;Z)Ljava/io/FileOutputStream;,false,0,false,NON_NULL,1
org.apache.commons.io.FileUtils,method,public,forceDeleteOnExit(Ljava/io/File;)V,false,0,false,UNKNOWN,3
org.apache.commons.io.FilenameUtils,method,public,wildcardMatch(Ljava/lang/String;Ljava/lang/String;Lorg/apache/commons/io/IOCase;)Z,false,1,true,UNKNOWN,2
org.apache.commons.io.EndianUtils,method,public,readSwappedLong(Ljava/io/InputStream;)J,false,0,true,UNKNOWN,1
org.apache.commons.io.IOUtils,method,public,toInputStream(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/io/InputStream;,false,0,false,NON_NULL,3
org.apache.commons.io.monitor.FileAlterationListener,method,public,onFileCreate(Ljava/io/File;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.input.TailerListener,method,public,handle(Ljava/lang/String;)V,false,0,true,NON_NULL,2
org.apache.commons.io.input.TeeInputStream,method,public,<init>(Ljava/io/InputStream;Ljava/io/OutputStream;)V,false,1,false,NON_NULL,2
org.apache.commons.io.IOUtils,method,public,write(Ljava/lang/String;Ljava/io/OutputStream;Ljava/lang/String;)V,false,2,false,UNKNOWN,4
org.apache.commons.io.input.XmlStreamReaderException,method,public,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,false,2,true,UNKNOWN,1
org.apache.commons.io.IOCase,method,public,checkRegionMatches(Ljava/lang/String;ILjava/lang/String;)Z,false,0,true,NON_NULL,1
org.apache.commons.io.filefilter.SuffixFileFilter,method,public,<init>(Ljava/lang/String;Lorg/apache/commons/io/IOCase;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.filefilter.NameFileFilter,method,public,<init>(Ljava/lang/String;Lorg/apache/commons/io/IOCase;)V,false,1,true,UNKNOWN,1
org.apache.commons.io.input.ObservableInputStream$Observer,method,private,error(Ljava/io/IOException;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.filefilter.MagicNumberFileFilter,method,public,<init>([BJ)V,false,0,true,UNKNOWN,1
org.apache.commons.io.IOExceptionWithCause,method,public,<init>(Ljava/lang/String;Ljava/lang/Throwable;)V,false,1,true,NON_NULL,1
org.apache.commons.io.input.ReversedLinesFileReader$FilePart,method,private,access$100(Lorg/apache/commons/io/input/ReversedLinesFileReader$FilePart;)Ljava/lang/String;,false,0,true,UNKNOWN,1
org.apache.commons.io.IOUtils,method,public,write(Ljava/lang/String;Ljava/io/OutputStream;)V,false,0,false,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;)Ljava/io/FileOutputStream;,false,0,false,NON_NULL,12
org.apache.commons.io.IOUtils,method,public,write(Ljava/lang/String;Ljava/io/OutputStream;Ljava/nio/charset/Charset;)V,false,1,false,NON_NULL,3
org.apache.commons.io.output.CloseShieldOutputStream,method,public,<init>(Ljava/io/OutputStream;)V,false,0,false,UNKNOWN,2
org.apache.commons.io.filefilter.NameFileFilter,method,public,<init>([Ljava/lang/String;Lorg/apache/commons/io/IOCase;)V,false,1,false,UNKNOWN,3
org.apache.commons.io.input.TailerListener,method,public,init(Lorg/apache/commons/io/input/Tailer;)V,false,0,true,NON_NULL,1
org.apache.commons.io.FileUtils,method,public,forceMkdir(Ljava/io/File;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,iterateFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;)Ljava/util/Iterator;,false,2,false,UNKNOWN,2
org.apache.commons.io.input.ReversedLinesFileReader$FilePart,method,private,access$200(Lorg/apache/commons/io/input/ReversedLinesFileReader$FilePart;)Lorg/apache/commons/io/input/ReversedLinesFileReader$FilePart;,false,0,true,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;)V,false,1,false,NON_NULL,20
org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;)V,false,0,false,NON_NULL,16
org.apache.commons.io.IOUtils,method,public,readLines(Ljava/io/InputStream;Ljava/lang/String;)Ljava/util/List;,false,1,false,NON_NULL,9
org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/lang/String;)Ljava/util/List;,false,0,false,NON_NULL,15
org.apache.commons.io.IOUtils,method,public,toString(Ljava/io/InputStream;Ljava/lang/String;)Ljava/lang/String;,false,0,false,UNKNOWN,101
org.apache.commons.io.IOUtils,method,public,write([BLjava/io/OutputStream;)V,false,0,false,NON_NULL,1
org.apache.commons.io.output.FileWriterWithEncoding,method,public,<init>(Ljava/io/File;Ljava/lang/String;)V,false,0,false,UNKNOWN,2
org.apache.commons.io.FileUtils,method,public,toFile(Ljava/net/URL;)Ljava/io/File;,false,0,false,NON_NULL,10
org.apache.commons.io.input.ObservableInputStream$Observer,method,private,data([BII)V,false,0,true,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;)Ljava/lang/String;,false,0,false,NON_NULL,25
org.apache.commons.io.input.ObservableInputStream,method,public,<init>(Ljava/io/InputStream;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.IOUtils,method,public,toByteArray(Ljava/io/InputStream;)[B,false,0,true,UNKNOWN,1
org.apache.commons.io.input.ReversedLinesFileReader$FilePart,method,private,<init>(Lorg/apache/commons/io/input/ReversedLinesFileReader;JI[BLorg/apache/commons/io/input/ReversedLinesFileReader$1;)V,false,3,true,NULL,1
org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/nio/charset/Charset;)Ljava/lang/String;,false,0,false,UNKNOWN,18
org.apache.commons.io.IOUtils,method,public,toString([BLjava/lang/String;)Ljava/lang/String;,false,1,false,NON_NULL,20
org.apache.commons.io.filefilter.NameFileFilter,method,public,<init>([Ljava/lang/String;Lorg/apache/commons/io/IOCase;)V,false,0,false,NON_NULL,3
org.apache.commons.io.IOUtils,method,public,copy(Ljava/io/InputStream;Ljava/io/Writer;Ljava/nio/charset/Charset;)V,false,0,false,UNKNOWN,5
org.apache.commons.io.IOUtils,method,public,closeQuietly(Ljava/io/Reader;)V,false,0,true,NULL,1
org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;)Ljava/util/Collection;,false,0,false,NON_NULL,2
org.apache.commons.io.filefilter.AgeFileFilter,method,public,<init>(Ljava/util/Date;Z)V,false,1,true,NON_NULL,1
org.apache.commons.io.IOCase,method,public,checkStartsWith(Ljava/lang/String;Ljava/lang/String;)Z,false,0,true,UNKNOWN,2
org.apache.commons.io.filefilter.AndFileFilter,method,public,<init>(Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;)V,false,1,true,UNKNOWN,2
org.apache.commons.io.IOCase,method,public,checkStartsWith(Ljava/lang/String;Ljava/lang/String;)Z,false,1,true,NON_NULL,1
org.apache.commons.io.Charsets,method,public,toCharset(Ljava/nio/charset/Charset;)Ljava/nio/charset/Charset;,false,0,true,UNKNOWN,14
