"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","com.google.common.base.Ascii","com.google.common.base.Ascii","toLowerCase(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,18,18,0,0,"NonNull"
"2","com.google.common.base.Ascii","com.google.common.base.Ascii","toUpperCase(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"3","com.google.common.base.Ascii","com.google.common.base.Ascii","truncate(Ljava/lang/CharSequence;ILjava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"4","com.google.common.base.Ascii","com.google.common.base.Ascii","truncate(Ljava/lang/CharSequence;ILjava/lang/String;)",FALSE,"parameter",2,"NonNull","NonNull",0,2,0,2,0,0,"NonNull"
"5","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"6","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"7","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","to(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,24,24,0,0,"NonNull"
"8","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","to(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,24,24,0,0,"NonNull"
"9","com.google.common.base.CaseFormat$StringConverter","com.google.common.base.CaseFormat$StringConverter","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"10","com.google.common.base.CaseFormat$StringConverter","com.google.common.base.CaseFormat$StringConverter","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"11","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","and(Lcom/google/common/base/CharMatcher;)",FALSE,"return",-1,"Nullable","NonNull",0,0,2,2,0,0,"NonNull"
"12","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","anyOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,2,7,0,0,"NonNull"
"13","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","apply(Ljava/lang/Character;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,12,12,0,0,"NonNull"
"14","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","countIn(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"15","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","indexIn(Ljava/lang/CharSequence;I)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"16","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","is(C)",FALSE,"return",-1,"Nullable","NonNull",0,0,44,44,0,0,"NonNull"
"17","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","lastIndexIn(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,10,2,12,0,0,"NonNull"
"18","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","matchesAllOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,7,8,0,0,"NonNull"
"19","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","removeFrom(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"20","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","replaceFrom(Ljava/lang/CharSequence;C)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"21","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","setBits(Ljava/util/BitSet;)",FALSE,"parameter",0,"NonNull","NonNull",0,3,2,5,0,0,"NonNull"
"22","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","trimFrom(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"23","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","trimLeadingFrom(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"24","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","trimTrailingFrom(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,2,4,6,0,0,"NonNull"
"25","com.google.common.base.CharMatcher$And","com.google.common.base.CharMatcher$And","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"26","com.google.common.base.CharMatcher$And","com.google.common.base.CharMatcher$And","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"27","com.google.common.base.CharMatcher$AnyOf","com.google.common.base.CharMatcher$AnyOf","<init>(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"28","com.google.common.base.CharMatcher$ForPredicate","com.google.common.base.CharMatcher$ForPredicate","<init>(Lcom/google/common/base/Predicate;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"29","com.google.common.base.CharMatcher$NamedFastMatcher","com.google.common.base.CharMatcher$NamedFastMatcher","<init>(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,2,7,0,0,"NonNull"
"30","com.google.common.base.CharMatcher$Negated","com.google.common.base.CharMatcher$Negated","<init>(Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,1,2,0,0,"NonNull"
"31","com.google.common.base.CharMatcher$Or","com.google.common.base.CharMatcher$Or","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"32","com.google.common.base.CharMatcher$Or","com.google.common.base.CharMatcher$Or","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"33","com.google.common.base.CharMatcher$RangesMatcher","com.google.common.base.CharMatcher$RangesMatcher","<init>(Ljava/lang/String;[C[C)",FALSE,"parameter",1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"34","com.google.common.base.CharMatcher$RangesMatcher","com.google.common.base.CharMatcher$RangesMatcher","<init>(Ljava/lang/String;[C[C)",FALSE,"parameter",2,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"35","com.google.common.base.Converter","com.google.common.base.Converter","correctedDoBackward(Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,0,3,3,0,0,"NonNull"
"36","com.google.common.base.Converter","com.google.common.base.Converter","correctedDoForward(Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,0,3,3,0,0,"NonNull"
"37","com.google.common.base.Defaults","com.google.common.base.Defaults","defaultValue(Ljava/lang/Class;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"38","com.google.common.base.Enums","com.google.common.base.Enums","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,2,0,2,0,0,"NonNull"
"39","com.google.common.base.Enums","com.google.common.base.Enums","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)",FALSE,"parameter",1,"NonNull","NonNull",0,2,0,2,0,0,"NonNull"
