"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","and(Lcom/google/common/base/CharMatcher;)",FALSE,"return",-1,"Nullable","NonNull",0,0,2,2,0,0,"NonNull"
"2","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","is(C)",FALSE,"return",-1,"Nullable","NonNull",0,0,44,44,0,0,"NonNull"
"3","com.google.common.base.Equivalence","com.google.common.base.Equivalence","pairwise()",FALSE,"return",-1,"Nullable","NonNull",0,0,8,8,0,0,"NonNull"
"4","com.google.common.base.Joiner","com.google.common.base.Joiner","on(C)",FALSE,"return",-1,"NonNull","NonNull",0,0,41,41,0,0,"NonNull"
"5","com.google.common.base.Joiner","com.google.common.base.Joiner","on(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,36,36,0,0,"NonNull"
"6","com.google.common.base.Joiner","com.google.common.base.Joiner","skipNulls()",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"7","com.google.common.base.Joiner","com.google.common.base.Joiner","useForNull(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"8","com.google.common.base.Joiner","com.google.common.base.Joiner","withKeyValueSeparator(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"9","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Class;)",FALSE,"return",-1,"Nullable","NonNull",0,0,7,7,0,0,"NonNull"
"10","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Object;)",FALSE,"return",-1,"Nullable","NonNull",0,0,180,180,0,0,"NonNull"
"11","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/String;)",FALSE,"return",-1,"Nullable","NonNull",0,0,4,4,0,0,"NonNull"
"12","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","omitNullValues()",TRUE,"return",-1,"Nullable","NonNull",0,9,0,9,9,1,"Nullable"
"13","com.google.common.base.Splitter","com.google.common.base.Splitter","omitEmptyStrings()",TRUE,"return",-1,"Nullable","NonNull",0,14,0,14,14,1,"Nullable"
"14","com.google.common.base.Splitter","com.google.common.base.Splitter","split(Ljava/lang/CharSequence;)",FALSE,"return",-1,"Nullable","NonNull",0,0,11,11,0,0,"NonNull"
"15","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","concurrencyLevel(I)",FALSE,"return",-1,"Nullable","NonNull",0,0,11,11,0,0,"NonNull"
"16","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterAccess(JLjava/util/concurrent/TimeUnit;)",FALSE,"return",-1,"Nullable","NonNull",0,0,17,17,0,0,"NonNull"
"17","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterWrite(JLjava/util/concurrent/TimeUnit;)",FALSE,"return",-1,"Nullable","NonNull",0,0,20,20,0,0,"NonNull"
"18","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","keyEquivalence(Lcom/google/common/base/Equivalence;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
