"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","com.google.common.base.Ascii","com.google.common.base.Ascii","toLowerCase(Ljava/lang/String;)",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"2","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","and(Lcom/google/common/base/CharMatcher;)",FALSE,"return",-1,"Nullable","NonNull",0,0,2,2,0,0,"NonNull"
"3","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","ascii()",FALSE,"return",-1,"Nullable","Unknown",0,0,3,3,0,0,"NonNull"
"4","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","digit()",FALSE,"return",-1,"Nullable","Unknown",0,0,7,7,0,0,"NonNull"
"5","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","is(C)",FALSE,"return",-1,"Nullable","NonNull",0,0,44,44,0,0,"NonNull"
"6","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","javaDigit()",FALSE,"return",-1,"Nullable","Unknown",0,0,5,5,0,0,"NonNull"
"7","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","javaIsoControl()",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"8","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","javaLetter()",FALSE,"return",-1,"Nullable","Unknown",0,0,5,5,0,0,"NonNull"
"9","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","javaLetterOrDigit()",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"10","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","removeFrom(Ljava/lang/CharSequence;)",FALSE,"return",-1,"Nullable","Unknown",0,0,6,6,0,0,"NonNull"
"11","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","trimTrailingFrom(Ljava/lang/CharSequence;)",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"12","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","whitespace()",FALSE,"return",-1,"Nullable","Unknown",0,0,10,10,0,0,"NonNull"
"13","com.google.common.base.CommonPattern","com.google.common.base.CommonPattern","matcher(Ljava/lang/CharSequence;)",FALSE,"return",-1,"Nullable",NA,0,0,2,2,0,0,"NonNull"
"14","com.google.common.base.Enums","com.google.common.base.Enums","getEnumConstants(Ljava/lang/Class;)",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"15","com.google.common.base.Enums","com.google.common.base.Enums","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"16","com.google.common.base.Equivalence","com.google.common.base.Equivalence","pairwise()",FALSE,"return",-1,"Nullable","NonNull",0,0,8,8,0,0,"NonNull"
"17","com.google.common.base.Joiner","com.google.common.base.Joiner","appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"18","com.google.common.base.Joiner","com.google.common.base.Joiner","join(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"19","com.google.common.base.Joiner","com.google.common.base.Joiner","on(C)",FALSE,"return",-1,"NonNull","NonNull",0,0,41,41,0,0,"NonNull"
"20","com.google.common.base.Joiner","com.google.common.base.Joiner","on(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,36,36,0,0,"NonNull"
"21","com.google.common.base.Joiner","com.google.common.base.Joiner","skipNulls()",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"22","com.google.common.base.Joiner","com.google.common.base.Joiner","useForNull(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"23","com.google.common.base.Joiner","com.google.common.base.Joiner","withKeyValueSeparator(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"24","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Class;)",FALSE,"return",-1,"Nullable","NonNull",0,0,7,7,0,0,"NonNull"
"25","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/Object;)",FALSE,"return",-1,"Nullable","NonNull",0,0,180,180,0,0,"NonNull"
"26","com.google.common.base.MoreObjects","com.google.common.base.MoreObjects","toStringHelper(Ljava/lang/String;)",FALSE,"return",-1,"Nullable","NonNull",0,0,4,4,0,0,"NonNull"
"27","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","add(Ljava/lang/String;D)",FALSE,"return",-1,"Nullable","Unknown",0,0,5,5,0,0,"NonNull"
"28","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","add(Ljava/lang/String;I)",FALSE,"return",-1,"Nullable","Unknown",0,0,8,8,0,0,"NonNull"
"29","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","add(Ljava/lang/String;J)",FALSE,"return",-1,"Nullable","Unknown",0,0,8,8,0,0,"NonNull"
"30","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","add(Ljava/lang/String;Ljava/lang/Object;)",FALSE,"return",-1,"Nullable","Unknown",0,0,252,252,0,0,"NonNull"
"31","com.google.common.base.MoreObjects$ToStringHelper","com.google.common.base.MoreObjects$ToStringHelper","add(Ljava/lang/String;Z)",FALSE,"return",-1,"Nullable","Unknown",0,0,12,12,0,0,"NonNull"
