"","class","attribute","visibility","name","getter","index","internal","nullness","n"
"1","com.sun.management.GarbageCollectionNotificationInfo","method","public","from(Ljavax/management/openmbean/CompositeData;)","false",0,"false","UNKNOWN",5
"2","com.sun.management.GarbageCollectionNotificationInfo","method","public","getGcInfo()","true",-1,"false","UNKNOWN",15
"3","com.sun.management.ThreadMXBean","method","public","getThreadAllocatedBytes(J)","false",0,"false","NON_NULL",5
"4","com.sun.management.ThreadMXBean","method","public","setThreadAllocatedMemoryEnabled(Z)","false",0,"false","NON_NULL",5
"5","java.applet.Applet","method","public","setStub(Ljava/applet/AppletStub;)","false",0,"false","NON_NULL",6
"6","java.awt.AWTKeyStroke","method","public","toString()","false",-1,"false","UNKNOWN",4
"7","java.awt.AlphaComposite","method","public","getInstance(I)","false",0,"false","NON_NULL",1
"8","java.awt.AlphaComposite","method","public","getInstance(IF)","false",0,"false","NON_NULL",35
"9","java.awt.AlphaComposite","method","public","getInstance(IF)","false",1,"false","NON_NULL",35
"10","java.awt.BasicStroke","method","public","<init>(F)","false",0,"false","NON_NULL",22
"11","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",0,"false","NON_NULL",11
"12","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",1,"false","NON_NULL",11
"13","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",2,"false","NON_NULL",11
"14","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",3,"false","NON_NULL",11
"15","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",4,"false","NON_NULL",11
"16","java.awt.BasicStroke","method","public","<init>(FIIF[FF)","false",5,"false","NON_NULL",11
"17","java.awt.CardLayout","method","public","addLayoutComponent(Ljava/awt/Component;Ljava/lang/Object;)","false",0,"false","UNKNOWN",11
"18","java.awt.CardLayout","method","public","addLayoutComponent(Ljava/awt/Component;Ljava/lang/Object;)","false",1,"false","UNKNOWN",11
"19","java.awt.CardLayout","method","public","layoutContainer(Ljava/awt/Container;)","false",0,"false","UNKNOWN",22
"20","java.awt.CardLayout","method","public","maximumLayoutSize(Ljava/awt/Container;)","false",0,"false","UNKNOWN",11
"21","java.awt.CardLayout","method","public","minimumLayoutSize(Ljava/awt/Container;)","false",0,"false","UNKNOWN",11
"22","java.awt.CardLayout","method","public","preferredLayoutSize(Ljava/awt/Container;)","false",0,"false","UNKNOWN",11
"23","java.awt.CardLayout","method","public","removeLayoutComponent(Ljava/awt/Component;)","false",0,"false","UNKNOWN",22
"24","java.awt.CardLayout","method","public","show(Ljava/awt/Container;Ljava/lang/String;)","false",0,"false","UNKNOWN",33
"25","java.awt.CardLayout","method","public","show(Ljava/awt/Container;Ljava/lang/String;)","false",1,"false","UNKNOWN",33
"26","java.awt.Color","method","public","<init>(FFFF)","false",0,"false","NON_NULL",3
"27","java.awt.Color","method","public","<init>(FFFF)","false",1,"false","NON_NULL",3
"28","java.awt.Color","method","public","<init>(FFFF)","false",2,"false","NON_NULL",3
"29","java.awt.Color","method","public","<init>(FFFF)","false",3,"false","NON_NULL",3
"30","java.awt.Color","method","public","<init>(I)","false",0,"false","NON_NULL",11
"31","java.awt.Color","method","public","<init>(III)","false",0,"false","NON_NULL",623
"32","java.awt.Color","method","public","<init>(III)","false",1,"false","NON_NULL",623
"33","java.awt.Color","method","public","<init>(III)","false",2,"false","NON_NULL",623
"34","java.awt.Color","method","public","<init>(IIII)","false",0,"false","NON_NULL",25
"35","java.awt.Color","method","public","<init>(IIII)","false",1,"false","NON_NULL",25
"36","java.awt.Color","method","public","<init>(IIII)","false",2,"false","NON_NULL",25
"37","java.awt.Color","method","public","<init>(IIII)","false",3,"false","NON_NULL",25
"38","java.awt.Color","method","public","<init>(IZ)","false",0,"false","NON_NULL",3
"39","java.awt.Color","method","public","<init>(IZ)","false",1,"false","NON_NULL",3
"40","java.awt.Color","method","public","decode(Ljava/lang/String;)","false",0,"false","NON_NULL",19
"41","java.awt.Color","method","public","decode(Ljava/lang/String;)","false",0,"false","UNKNOWN",5
"42","java.awt.Component","method","protected","enableEvents(J)","false",0,"false","NON_NULL",11
"43","java.awt.Component","method","protected","firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)","false",0,"false","NON_NULL",33
"44","java.awt.Component","method","protected","firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)","false",0,"false","UNKNOWN",209
"45","java.awt.Component","method","protected","firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)","false",1,"false","UNKNOWN",242
"46","java.awt.Component","method","protected","firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)","false",2,"false","NON_NULL",22
"47","java.awt.Component","method","protected","firePropertyChange(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)","false",2,"false","UNKNOWN",220
"48","java.awt.Component","method","public","addComponentListener(Ljava/awt/event/ComponentListener;)","false",0,"false","NON_NULL",44
"49","java.awt.Component","method","public","addFocusListener(Ljava/awt/event/FocusListener;)","false",0,"false","NON_NULL",11
"50","java.awt.Component","method","public","addFocusListener(Ljava/awt/event/FocusListener;)","false",0,"false","UNKNOWN",280
"51","java.awt.Component","method","public","addHierarchyBoundsListener(Ljava/awt/event/HierarchyBoundsListener;)","false",0,"false","NON_NULL",33
"52","java.awt.Component","method","public","addKeyListener(Ljava/awt/event/KeyListener;)","false",0,"false","NON_NULL",22
"53","java.awt.Component","method","public","addKeyListener(Ljava/awt/event/KeyListener;)","false",0,"false","UNKNOWN",313
"54","java.awt.Component","method","public","addMouseListener(Ljava/awt/event/MouseListener;)","false",0,"false","NON_NULL",107
"55","java.awt.Component","method","public","addMouseListener(Ljava/awt/event/MouseListener;)","false",0,"false","UNKNOWN",533
"56","java.awt.Component","method","public","addMouseMotionListener(Ljava/awt/event/MouseMotionListener;)","false",0,"false","NON_NULL",41
"57","java.awt.Component","method","public","addMouseWheelListener(Ljava/awt/event/MouseWheelListener;)","false",0,"false","UNKNOWN",11
"58","java.awt.Component","method","public","getBounds()","false",-1,"false","NON_NULL",11
"59","java.awt.Component","method","public","getBounds()","false",-1,"false","UNKNOWN",61
"60","java.awt.Component","method","public","getComponentAt(II)","false",-1,"false","UNKNOWN",22
"61","java.awt.Component","method","public","getComponentAt(II)","false",0,"false","NON_NULL",22
"62","java.awt.Component","method","public","getComponentAt(II)","false",1,"false","NON_NULL",22
"63","java.awt.Component","method","public","getFocusListeners()","false",-1,"false","UNKNOWN",11
"64","java.awt.Component","method","public","getFont()","true",-1,"false","NON_NULL",528
"65","java.awt.Component","method","public","getFont()","true",-1,"false","UNKNOWN",1430
"66","java.awt.Component","method","public","getGraphicsConfiguration()","false",-1,"false","NON_NULL",11
"67","java.awt.Component","method","public","getGraphicsConfiguration()","false",-1,"false","UNKNOWN",11
"68","java.awt.Component","method","public","getKeyListeners()","false",-1,"false","UNKNOWN",11
"69","java.awt.Component","method","public","getLocation()","false",-1,"false","UNKNOWN",22
"70","java.awt.Component","method","public","getMouseListeners()","false",-1,"false","UNKNOWN",44
"71","java.awt.Component","method","public","getParent()","true",-1,"false","NON_NULL",44
"72","java.awt.Component","method","public","getParent()","true",-1,"false","UNKNOWN",33
"73","java.awt.Component","method","public","getPropertyChangeListeners()","false",-1,"false","UNKNOWN",11
"74","java.awt.Component","method","public","getPropertyChangeListeners(Ljava/lang/String;)","false",-1,"false","UNKNOWN",22
"75","java.awt.Component","method","public","getPropertyChangeListeners(Ljava/lang/String;)","false",0,"false","NON_NULL",22
"76","java.awt.Component","method","public","getSize()","false",-1,"false","UNKNOWN",66
"77","java.awt.Component","method","public","getTreeLock()","false",-1,"false","UNKNOWN",11
"78","java.awt.Component","method","public","removeFocusListener(Ljava/awt/event/FocusListener;)","false",0,"false","NON_NULL",11
"79","java.awt.Component","method","public","removeFocusListener(Ljava/awt/event/FocusListener;)","false",0,"false","UNKNOWN",93
"80","java.awt.Component","method","public","removeKeyListener(Ljava/awt/event/KeyListener;)","false",0,"false","NON_NULL",11
"81","java.awt.Component","method","public","removeKeyListener(Ljava/awt/event/KeyListener;)","false",0,"false","UNKNOWN",5
"82","java.awt.Component","method","public","removeMouseListener(Ljava/awt/event/MouseListener;)","false",0,"false","NON_NULL",33
"83","java.awt.Component","method","public","removeMouseListener(Ljava/awt/event/MouseListener;)","false",0,"false","UNKNOWN",5
"84","java.awt.Component","method","public","removeMouseMotionListener(Ljava/awt/event/MouseMotionListener;)","false",0,"false","NON_NULL",22
"85","java.awt.Component","method","public","removePropertyChangeListener(Ljava/beans/PropertyChangeListener;)","false",0,"false","UNKNOWN",22
