class,attribute,visibility,name,getter,index,internal,nullness,n
java.beans.PropertyChangeSupport,method,public,firePropertyChange(Ljava/lang/String;ZZ)V,false,2,false,NON_NULL,14
java.sql.CallableStatement,method,public,getSQLXML(I)Ljava/sql/SQLXML;,false,0,false,NON_NULL,9
java.util.Deque,method,public,offerFirst(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,40
java.nio.file.Files,method,public,isRegularFile(Ljava/nio/file/Path;[Ljava/nio/file/LinkOption;)Z,false,1,false,NON_NULL,5
java.util.Optional,method,public,ofNullable(Ljava/lang/Object;)Ljava/util/Optional;,false,0,false,UNKNOWN,3366
java.lang.Math,method,public,round(D)J,false,0,false,NON_NULL,23
java.lang.ThreadGroup,method,public,enumerate([Ljava/lang/Thread;Z)I,false,0,false,NON_NULL,3
java.util.Arrays,method,public,equals([S[S)Z,false,1,false,UNKNOWN,6
java.util.Date,method,public,setMonth(I)V,false,0,false,NON_NULL,2
java.util.Objects,method,public,isNull(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,110
java.sql.PreparedStatement,method,public,setObject(ILjava/lang/Object;)V,false,1,false,NULL,11
java.lang.Character,method,public,isUpperCase(I)Z,false,0,false,NON_NULL,3
java.io.OutputStreamWriter,method,public,<init>(Ljava/io/OutputStream;Ljava/lang/String;)V,false,1,false,UNKNOWN,22
java.io.RandomAccessFile,method,public,writeBytes(Ljava/lang/String;)V,false,0,false,UNKNOWN,3
java.util.logging.Logger,method,public,logp(Ljava/util/logging/Level;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)V,false,0,false,UNKNOWN,3
java.sql.PreparedStatement,method,public,setObject(ILjava/lang/Object;II)V,false,3,false,NON_NULL,31
java.time.Instant,method,public,plusSeconds(J)Ljava/time/Instant;,false,0,false,NON_NULL,16
java.util.zip.ZipOutputStream,method,public,setLevel(I)V,false,0,false,NON_NULL,7
javax.swing.JTextField,method,public,setHorizontalAlignment(I)V,false,0,false,NON_NULL,11
java.util.logging.Logger,method,public,fine(Ljava/util/function/Supplier;)V,false,0,false,UNKNOWN,1
java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy,method,public,rejectedExecution(Ljava/lang/Runnable;Ljava/util/concurrent/ThreadPoolExecutor;)V,false,1,false,UNKNOWN,2
java.beans.Introspector,method,public,setBeanInfoSearchPath([Ljava/lang/String;)V,false,0,false,UNKNOWN,11
java.sql.Connection,method,public,prepareStatement(Ljava/lang/String;III)Ljava/sql/PreparedStatement;,false,3,false,NON_NULL,33
java.lang.Float,method,public,isNaN(F)Z,false,0,false,NON_NULL,21
java.nio.file.Files,method,public,createFile(Ljava/nio/file/Path;[Ljava/nio/file/attribute/FileAttribute;)Ljava/nio/file/Path;,false,1,false,NON_NULL,12
java.time.Duration,method,public,minusHours(J)Ljava/time/Duration;,false,0,false,NON_NULL,15
java.nio.file.Files,method,public,exists(Ljava/nio/file/Path;[Ljava/nio/file/LinkOption;)Z,false,0,false,NON_NULL,4
java.sql.ResultSet,method,public,getInt(I)I,false,0,false,NON_NULL,39
java.lang.reflect.Array,method,public,get(Ljava/lang/Object;I)Ljava/lang/Object;,false,0,false,UNKNOWN,14
java.lang.invoke.MethodType,method,public,methodType(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/invoke/MethodType;,false,0,false,UNKNOWN,11
java.util.function.IntUnaryOperator,method,public,applyAsInt(I)I,false,0,false,NON_NULL,1
