"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","getValue(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull",NA,0,0,20,20,0,0,"NonNull"
"2","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","setDisplayName(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull",NA,0,0,2,2,0,0,"NonNull"
"3","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","setName(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull",NA,0,0,2,2,0,0,"NonNull"
"4","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","setShortDescription(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull",NA,0,0,2,2,0,0,"NonNull"
"5","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","setValue(Ljava/lang/String;Ljava/lang/Object;)",FALSE,"parameter",0,"NonNull",NA,0,44,2,46,0,0,"NonNull"
"6","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","setValue(Ljava/lang/String;Ljava/lang/Object;)",FALSE,"parameter",1,"NonNull",NA,0,44,2,46,0,0,"NonNull"
"7","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","<init>(Ljava/lang/String;Ljava/lang/Class;)",FALSE,"parameter",0,"NonNull",NA,0,88,0,88,0,0,"NonNull"
"8","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","<init>(Ljava/lang/String;Ljava/lang/Class;)",FALSE,"parameter",1,"NonNull",NA,0,88,0,88,0,0,"NonNull"
"9","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","<init>(Ljava/lang/String;Ljava/lang/reflect/Method;Ljava/lang/reflect/Method;)",FALSE,"parameter",0,"NonNull",NA,0,0,2,2,0,0,"NonNull"
"10","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","<init>(Ljava/lang/String;Ljava/lang/reflect/Method;Ljava/lang/reflect/Method;)",FALSE,"parameter",1,"Nullable",NA,2,0,0,2,2,1,"Nullable"
"11","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","<init>(Ljava/lang/String;Ljava/lang/reflect/Method;Ljava/lang/reflect/Method;)",FALSE,"parameter",2,"Nullable",NA,2,0,0,2,2,1,"Nullable"
"12","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","setPropertyEditorClass(Ljava/lang/Class;)",FALSE,"parameter",0,"Nullable",NA,0,0,2,2,0,0,"NonNull"
