"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","attributeNames()",FALSE,"return",-1,"NonNull",NA,0,0,11,11,0,0,"NonNull"
"2","java.beans.FeatureDescriptor","java.beans.FeatureDescriptor","getName()",TRUE,"return",-1,"NonNull",NA,0,0,6,6,0,0,"NonNull"
"3","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","getPropertyType()",FALSE,"return",-1,"Nullable",NA,0,0,4,4,0,0,"NonNull"
"4","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","getReadMethod()",FALSE,"return",-1,"Nullable",NA,0,0,21,21,0,0,"NonNull"
"5","java.beans.PropertyDescriptor","java.beans.PropertyDescriptor","getWriteMethod()",FALSE,"return",-1,"Nullable",NA,0,0,13,13,0,0,"NonNull"
"6","java.io.BufferedReader","java.io.BufferedReader","readLine()",FALSE,"return",-1,"Nullable",NA,0,68,3,71,68,0.957746478873239,"Nullable"
"7","java.io.ByteArrayOutputStream","java.io.ByteArrayOutputStream","toString(Ljava/lang/String;)",FALSE,"return",-1,"NonNull",NA,0,0,11,11,0,0,"NonNull"
"8","java.io.DataInput","java.io.RandomAccessFile","readLine()",FALSE,"return",-1,"Nullable",NA,0,2,3,5,2,0.4,"Nullable"
"9","java.io.File","java.io.File","createTempFile(Ljava/lang/String;Ljava/lang/String;)",FALSE,"return",-1,"NonNull",NA,0,0,34,34,0,0,"NonNull"
"10","java.io.File","java.io.File","createTempFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/File;)",FALSE,"return",-1,"NonNull",NA,0,0,27,27,0,0,"NonNull"
"11","java.io.File","java.io.File","getAbsoluteFile()",FALSE,"return",-1,"NonNull",NA,0,0,29,29,0,0,"NonNull"
"12","java.io.File","java.io.File","getAbsolutePath()",FALSE,"return",-1,"NonNull",NA,0,0,44,44,0,0,"NonNull"
"13","java.io.File","java.io.File","getCanonicalFile()",FALSE,"return",-1,"NonNull",NA,0,0,30,30,0,0,"NonNull"
"14","java.io.File","java.io.File","getCanonicalPath()",FALSE,"return",-1,"NonNull",NA,0,0,27,27,0,0,"NonNull"
"15","java.io.File","java.io.File","getName()",FALSE,"return",-1,"NonNull",NA,0,0,223,223,0,0,"NonNull"
"16","java.io.File","java.io.File","getParent()",FALSE,"return",-1,"Nullable",NA,0,6,0,6,6,1,"Nullable"
"17","java.io.File","java.io.File","getParentFile()",FALSE,"return",-1,"Nullable",NA,0,49,115,164,49,0.298780487804878,"Nullable"
"18","java.io.File","java.io.File","getPath()",TRUE,"return",-1,"NonNull",NA,0,0,47,47,0,0,"NonNull"
"19","java.io.File","java.io.File","list()",FALSE,"return",-1,"Nullable",NA,0,14,11,25,14,0.56,"Nullable"
"20","java.io.File","java.io.File","list(Ljava/io/FilenameFilter;)",FALSE,"return",-1,"Nullable",NA,0,7,0,7,7,1,"Nullable"
"21","java.io.File","java.io.File","listFiles()",FALSE,"return",-1,"Nullable",NA,0,95,48,143,95,0.664335664335664,"Nullable"
"22","java.io.File","java.io.File","listFiles(Ljava/io/FileFilter;)",FALSE,"return",-1,"Nullable",NA,0,26,18,44,26,0.590909090909091,"Nullable"
"23","java.io.File","java.io.File","listFiles(Ljava/io/FilenameFilter;)",FALSE,"return",-1,"Nullable",NA,0,10,12,22,10,0.454545454545455,"Nullable"
"24","java.io.File","java.io.File","toURI()",FALSE,"return",-1,"NonNull",NA,0,0,87,87,0,0,"NonNull"
"25","java.io.FileInputStream","java.io.FileInputStream","getChannel()",TRUE,"return",-1,"NonNull",NA,0,0,26,26,0,0,"NonNull"
"26","java.io.FileOutputStream","java.io.FileOutputStream","getChannel()",TRUE,"return",-1,"NonNull",NA,0,7,10,17,7,0.411764705882353,"Nullable"
"27","java.io.FileOutputStream","java.io.FileOutputStream","getFD()",FALSE,"return",-1,"NonNull",NA,0,0,10,10,0,0,"NonNull"
"28","java.io.ObjectInput","java.io.ObjectInputStream","readObject()",FALSE,"return",-1,"NonNull",NA,0,0,30,30,0,0,"NonNull"
"29","java.io.StringWriter","java.io.StringWriter","getBuffer()",FALSE,"return",-1,"NonNull",NA,0,0,17,17,0,0,"NonNull"
"30","java.lang.AbstractStringBuilder","java.lang.StringBuffer","append(I)",FALSE,"return",-1,"NonNull",NA,0,0,22,22,0,0,"NonNull"
"31","java.lang.AbstractStringBuilder","java.lang.StringBuffer","append(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull",NA,0,0,56,56,0,0,"NonNull"
